repeat,mode,frames,total_ns,ns_per_block,candidate_ns_per_block,checksum
1,baseline,9,99314382,11034931,10940894,6c0279676b0b72b5
1,combined,9,1104981807,122775756,122677844,6c0279676b0b72b5
2,combined,9,1080934013,120103779,120007006,6c0279676b0b72b5
2,baseline,9,96296362,10699595,10595678,6c0279676b0b72b5
3,baseline,9,98445800,10938422,10830848,6c0279676b0b72b5
3,combined,9,995974145,110663793,110571633,6c0279676b0b72b5
4,combined,9,974835793,108315088,108225771,6c0279676b0b72b5
4,baseline,9,89415940,9935104,9847282,6c0279676b0b72b5
5,baseline,9,88965819,9885091,9790520,6c0279676b0b72b5
5,combined,9,970123229,107791469,107701217,6c0279676b0b72b5
6,combined,9,950734303,105637144,105548265,6c0279676b0b72b5
6,baseline,9,90080983,10008998,9921469,6c0279676b0b72b5
7,baseline,9,90968725,10107636,10015116,6c0279676b0b72b5
7,combined,9,975310392,108367821,108279243,6c0279676b0b72b5
8,combined,9,968302245,107589138,107498805,6c0279676b0b72b5
8,baseline,9,90934774,10103863,10013571,6c0279676b0b72b5
9,baseline,9,90185481,10020609,9931083,6c0279676b0b72b5
9,combined,9,965550774,107283419,107193484,6c0279676b0b72b5
