repeat,mode,threads,frames,total_ns,ns_per_block,candidate_ns_per_block,checksum
1,baseline,1,9,35586202,3954022,3918511,5e1efc42d9298457
1,native_parity,1,9,47754216,5306024,5269501,5e1efc42d9298457
1,pthread_2,2,9,17790328,1976703,1936886,5e1efc42d9298457
1,pthread_4,4,9,10308983,1145442,1109864,5e1efc42d9298457
1,pthread_8,8,9,6670509,741167,705347,5e1efc42d9298457
1,pthread_16,16,9,7457918,828657,792127,5e1efc42d9298457
2,pthread_16,16,9,7545572,838396,802105,5e1efc42d9298457
2,pthread_8,8,9,6603138,733682,695415,5e1efc42d9298457
2,pthread_4,4,9,9991992,1110221,1074413,5e1efc42d9298457
2,pthread_2,2,9,17388289,1932032,1895460,5e1efc42d9298457
2,native_parity,1,9,48036414,5337379,5302387,5e1efc42d9298457
2,baseline,1,9,35385329,3931703,3895843,5e1efc42d9298457
3,baseline,1,9,35414401,3934933,3898636,5e1efc42d9298457
3,native_parity,1,9,48349608,5372178,5329120,5e1efc42d9298457
3,pthread_2,2,9,17442471,1938052,1902278,5e1efc42d9298457
3,pthread_4,4,9,9771870,1085763,1048305,5e1efc42d9298457
3,pthread_8,8,9,6688546,743171,707438,5e1efc42d9298457
3,pthread_16,16,9,7424570,824952,788767,5e1efc42d9298457
4,pthread_16,16,9,7423358,824817,788827,5e1efc42d9298457
4,pthread_8,8,9,6613554,734839,698754,5e1efc42d9298457
4,pthread_4,4,9,10263473,1140385,1103227,5e1efc42d9298457
4,pthread_2,2,9,17609945,1956660,1919850,5e1efc42d9298457
4,native_parity,1,9,48004573,5333841,5299149,5e1efc42d9298457
4,baseline,1,9,35722208,3969134,3932545,5e1efc42d9298457
5,baseline,1,9,35380051,3931116,3891014,5e1efc42d9298457
5,native_parity,1,9,47707576,5300841,5264036,5e1efc42d9298457
5,pthread_2,2,9,18191323,2021258,1985601,5e1efc42d9298457
5,pthread_4,4,9,10455103,1161678,1126383,5e1efc42d9298457
5,pthread_8,8,9,6790380,754486,718682,5e1efc42d9298457
5,pthread_16,16,9,7777413,864157,827202,5e1efc42d9298457
6,pthread_16,16,9,8259964,917773,881639,5e1efc42d9298457
6,pthread_8,8,9,7340472,815608,777723,5e1efc42d9298457
6,pthread_4,4,9,10036290,1115143,1070761,5e1efc42d9298457
6,pthread_2,2,9,19085426,2120602,2084917,5e1efc42d9298457
6,native_parity,1,9,48851576,5427952,5389025,5e1efc42d9298457
6,baseline,1,9,35293150,3921461,3884459,5e1efc42d9298457
7,baseline,1,9,35239819,3915535,3878164,5e1efc42d9298457
7,native_parity,1,9,48133219,5348135,5313404,5e1efc42d9298457
7,pthread_2,2,9,17724157,1969350,1932729,5e1efc42d9298457
7,pthread_4,4,9,10073746,1119305,1082004,5e1efc42d9298457
7,pthread_8,8,9,6733394,748154,711142,5e1efc42d9298457
7,pthread_16,16,9,7796052,866228,829018,5e1efc42d9298457
8,pthread_16,16,9,7595157,843906,807775,5e1efc42d9298457
8,pthread_8,8,9,6784572,753841,716551,5e1efc42d9298457
8,pthread_4,4,9,9965060,1107228,1071321,5e1efc42d9298457
8,pthread_2,2,9,17506528,1945169,1909501,5e1efc42d9298457
8,native_parity,1,9,48027649,5336405,5299718,5e1efc42d9298457
8,baseline,1,9,35279199,3919911,3884492,5e1efc42d9298457
9,baseline,1,9,35446710,3938523,3902511,5e1efc42d9298457
9,native_parity,1,9,47153669,5239296,5204555,5e1efc42d9298457
9,pthread_2,2,9,18072004,2008000,1972946,5e1efc42d9298457
9,pthread_4,4,9,10146097,1127344,1089285,5e1efc42d9298457
9,pthread_8,8,9,6765623,751735,714692,5e1efc42d9298457
9,pthread_16,16,9,8940311,993367,957139,5e1efc42d9298457
