repeat,mode,threads,frames,total_ns,ns_per_block,candidate_ns_per_block,checksum
1,baseline,1,9,76413162,8490351,8462011,5e1efc42d9298457
1,native_parity,1,9,65336658,7259628,7230263,5e1efc42d9298457
1,pthread_2,2,9,26329694,2925521,2897553,5e1efc42d9298457
1,pthread_4,4,9,14298205,1588689,1559840,5e1efc42d9298457
1,pthread_8,8,9,8755604,972844,943708,5e1efc42d9298457
1,pthread_16,16,9,9284761,1031640,1002663,5e1efc42d9298457
2,pthread_16,16,9,9297502,1033055,1003987,5e1efc42d9298457
2,pthread_8,8,9,8648931,960992,931284,5e1efc42d9298457
2,pthread_4,4,9,14182828,1575869,1545922,5e1efc42d9298457
2,pthread_2,2,9,26041357,2893484,2865223,5e1efc42d9298457
2,native_parity,1,9,64894902,7210544,7182345,5e1efc42d9298457
2,baseline,1,9,75756688,8417409,8388923,5e1efc42d9298457
3,baseline,1,9,75287590,8365287,8337562,5e1efc42d9298457
3,native_parity,1,9,64626346,7180705,7153011,5e1efc42d9298457
3,pthread_2,2,9,27010412,3001156,2972394,5e1efc42d9298457
3,pthread_4,4,9,14253098,1583677,1553976,5e1efc42d9298457
3,pthread_8,8,9,8942636,993626,963140,5e1efc42d9298457
3,pthread_16,16,9,9506960,1056328,1027456,5e1efc42d9298457
4,pthread_16,16,9,9238482,1026498,997024,5e1efc42d9298457
4,pthread_8,8,9,8699807,966645,937699,5e1efc42d9298457
4,pthread_4,4,9,14529706,1614411,1585273,5e1efc42d9298457
4,pthread_2,2,9,26276521,2919613,2891201,5e1efc42d9298457
4,native_parity,1,9,64616099,7179566,7151706,5e1efc42d9298457
4,baseline,1,9,75998916,8444324,8414975,5e1efc42d9298457
5,baseline,1,9,75165362,8351706,8324045,5e1efc42d9298457
5,native_parity,1,9,64234924,7137213,7109413,5e1efc42d9298457
5,pthread_2,2,9,26499089,2944343,2912710,5e1efc42d9298457
5,pthread_4,4,9,13857388,1539709,1511478,5e1efc42d9298457
5,pthread_8,8,9,8721941,969104,940045,5e1efc42d9298457
5,pthread_16,16,9,9299285,1033253,1004091,5e1efc42d9298457
6,pthread_16,16,9,9208808,1023200,994319,5e1efc42d9298457
6,pthread_8,8,9,8740288,971143,942073,5e1efc42d9298457
6,pthread_4,4,9,14592651,1621405,1592500,5e1efc42d9298457
6,pthread_2,2,9,26136651,2904072,2875710,5e1efc42d9298457
6,native_parity,1,9,66266035,7362892,7331983,5e1efc42d9298457
6,baseline,1,9,74863678,8318186,8290140,5e1efc42d9298457
7,baseline,1,9,74815815,8312868,8282680,5e1efc42d9298457
7,native_parity,1,9,64901900,7211322,7183417,5e1efc42d9298457
7,pthread_2,2,9,26359648,2928849,2900707,5e1efc42d9298457
7,pthread_4,4,9,14188579,1576508,1547448,5e1efc42d9298457
7,pthread_8,8,9,9325805,1036200,1004209,5e1efc42d9298457
7,pthread_16,16,9,10278095,1142010,1111681,5e1efc42d9298457
8,pthread_16,16,9,9751459,1083495,1054747,5e1efc42d9298457
8,pthread_8,8,9,9500228,1055580,1025330,5e1efc42d9298457
8,pthread_4,4,9,14698841,1633204,1600974,5e1efc42d9298457
8,pthread_2,2,9,25987825,2887536,2859415,5e1efc42d9298457
8,native_parity,1,9,65111488,7234609,7206930,5e1efc42d9298457
8,baseline,1,9,75135569,8348396,8320425,5e1efc42d9298457
9,baseline,1,9,75754025,8417113,8389293,5e1efc42d9298457
9,native_parity,1,9,65029643,7225515,7196326,5e1efc42d9298457
9,pthread_2,2,9,26078063,2897562,2868889,5e1efc42d9298457
9,pthread_4,4,9,14158614,1573179,1541830,5e1efc42d9298457
9,pthread_8,8,9,9556384,1061820,1032677,5e1efc42d9298457
9,pthread_16,16,9,10823581,1202620,1172989,5e1efc42d9298457
