mode,page_size,candidates,pages,last_page_size,max_live_payload_bytes,elapsed_ns,content_hash
independent,1,679121,679121,1,71,211892944,c9da0a5ebdc96618
independent,2,679121,339561,1,142,221502881,c9da0a5ebdc96618
independent,4,679121,169781,1,284,218505582,c9da0a5ebdc96618
independent,8,679121,84891,1,568,211835008,c9da0a5ebdc96618
independent,16,679121,42446,1,1136,219937549,c9da0a5ebdc96618
prefix_delta,1,679121,679121,1,260,206604595,c9da0a5ebdc96618
prefix_delta,2,679121,339561,1,394,196007242,c9da0a5ebdc96618
prefix_delta,4,679121,169781,1,662,196158895,c9da0a5ebdc96618
prefix_delta,8,679121,84891,1,1198,188522908,c9da0a5ebdc96618
prefix_delta,16,679121,42446,1,2270,179471985,c9da0a5ebdc96618
