ebn0_db,mode,workers,frames,repeats,samples,pool_startup_ns,exact_stops,stop_rate,mean_candidates,p50_total_ns,p95_total_ns,p99_total_ns,mean_total_ns,p50_candidate_ns,p95_candidate_ns,p99_candidate_ns,blocks_per_second,p50_speedup,p95_speedup,p99_speedup,result
4.000000,baseline,1,200,3,600,220212,0,0.000000,679121.000000,3920077,4117734,4502878,3950299.215000,3892335,4090974,4475327,253.145381,1.000000,1.000000,1.000000,pass
4.000000,spawn_full_8,8,200,3,600,220212,0,0.000000,679121.000000,1041896,1161206,1249719,1051609.891667,1015865,1131561,1216770,950.922969,3.762446,3.546084,3.603112,pass
4.000000,persistent_full_8,8,200,3,600,220212,0,0.000000,679121.000000,911588,1057279,1199964,934937.876667,885519,1025151,1170990,1069.589782,4.300273,3.894652,3.752511,pass
4.000000,spawn_parity_8,8,200,3,600,220212,0,0.000000,679121.000000,845409,970508,1012802,864885.896667,819168,937959,977659,1156.221883,4.636900,4.242865,4.445961,pass
4.000000,persistent_parity_8,8,200,3,600,220212,0,0.000000,679121.000000,738487,889775,1015175,756547.250000,711937,861613,957588,1321.794508,5.308255,4.627837,4.435568,pass
4.000000,exact_spawn_full_8,8,200,3,600,220212,0,0.000000,679121.000000,1011920,1134596,1242298,1033492.421667,985440,1095556,1197991,967.592968,3.873900,3.629251,3.624636,pass
4.000000,exact_persistent_full_8,8,200,3,600,220212,0,0.000000,679121.000000,910777,1065971,1192363,931394.245000,883485,1035957,1147034,1073.659200,4.304102,3.862895,3.776432,pass
4.000000,exact_spawn_parity_8,8,200,3,600,220212,0,0.000000,679121.000000,859881,985941,1081034,874042.190000,833581,957588,1044750,1144.109531,4.558860,4.176451,4.165344,pass
4.000000,exact_persistent_parity_8,8,200,3,600,220212,0,0.000000,679121.000000,754541,912670,1027253,769770.570000,727861,885439,1003227,1299.088376,5.195313,4.511745,4.383417,pass
6.000000,baseline,1,200,3,600,220212,0,0.000000,679121.000000,3925385,4075612,4329536,3946063.568333,3899606,4050384,4297747,253.417104,1.000000,1.000000,1.000000,pass
