ebn0_db,mode,workers,frames,repeats,samples,pool_startup_ns,exact_stops,stop_rate,mean_candidates,p50_total_ns,p95_total_ns,p99_total_ns,mean_total_ns,p50_candidate_ns,p95_candidate_ns,p99_candidate_ns,blocks_per_second,p50_speedup,p95_speedup,p99_speedup,result
4.000000,baseline,1,200,3,600,262096,0,0.000000,679121.000000,8514762,10238058,11116675,8772149.666667,8485938,10213109,11094341,113.997143,1.000000,1.000000,1.000000,pass
4.000000,spawn_full_8,8,200,3,600,262096,0,0.000000,679121.000000,2012132,2463354,2724529,2052796.528333,1988076,2430614,2700683,487.140341,4.231711,4.156146,4.080219,pass
4.000000,persistent_full_8,8,200,3,600,262096,0,0.000000,679121.000000,2020535,2414230,2593190,2029171.815000,1994455,2392767,2569895,492.811891,4.214113,4.240714,4.286873,pass
4.000000,spawn_parity_8,8,200,3,600,262096,0,0.000000,679121.000000,1194796,1487729,1665508,1222325.106667,1168166,1456742,1636223,818.112951,7.126540,6.881669,6.674645,pass
4.000000,persistent_parity_8,8,200,3,600,262096,0,0.000000,679121.000000,1168686,1449321,1603524,1173077.040000,1141235,1408389,1569302,852.458931,7.285757,7.064038,6.932653,pass
4.000000,exact_spawn_full_8,8,200,3,600,262096,0,0.000000,679121.000000,1967655,2347279,2538058,2005389.503333,1938931,2312656,2508202,498.656245,4.327365,4.361671,4.379992,pass
4.000000,exact_persistent_full_8,8,200,3,600,262096,0,0.000000,679121.000000,1995858,2423394,2707884,2010268.790000,1965391,2397665,2683427,497.445916,4.266216,4.224677,4.105300,pass
4.000000,exact_spawn_parity_8,8,200,3,600,262096,0,0.000000,679121.000000,1210640,1519777,1736995,1242068.116667,1182347,1486827,1704687,805.108823,7.033273,6.736553,6.399946,pass
4.000000,exact_persistent_parity_8,8,200,3,600,262096,0,0.000000,679121.000000,1180024,1543573,1774793,1204521.705000,1154425,1515892,1740201,830.205048,7.215753,6.632701,6.263646,pass
6.000000,baseline,1,200,3,600,262096,0,0.000000,679121.000000,8521512,9765462,10773365,8660696.310000,8498256,9734544,10740956,115.464157,1.000000,1.000000,1.000000,pass
6.000000,spawn_full_8,8,200,3,600,262096,0,0.000000,679121.000000,1867943,2260507,2404945,1924698.251667,1844888,2225494,2379957,519.561962,4.561976,4.320032,4.479672,pass
6.000000,persistent_full_8,8,200,3,600,262096,0,0.000000,679121.000000,1845049,2266396,2467349,1903946.421667,1821973,2237021,2445607,525.224864,4.618583,4.308807,4.366373,pass
6.000000,spawn_parity_8,8,200,3,600,262096,0,0.000000,679121.000000,1099292,1353996,1516403,1145043.166667,1076096,1324992,1483302,873.329521,7.751818,7.212327,7.104553,pass
6.000000,persistent_parity_8,8,200,3,600,262096,0,0.000000,679121.000000,1059371,1386406,1520939,1101337.570000,1036366,1357352,1499096,907.986822,8.043936,7.043725,7.083364,pass
6.000000,exact_spawn_full_8,8,200,3,600,262096,21,0.035000,655351.800000,1820872,2249040,2419657,1828027.321667,1797938,2226936,2382862,547.037776,4.679907,4.342058,4.452435,pass
6.000000,exact_persistent_full_8,8,200,3,600,262096,21,0.035000,655351.800000,1830727,2267918,2472067,1828655.571667,1807792,2237763,2442212,546.849836,4.654715,4.305915,4.358039,pass
6.000000,exact_spawn_parity_8,8,200,3,600,262096,21,0.035000,655351.800000,1104620,1393356,1564205,1112871.841667,1081455,1360997,1531695,898.576065,7.714428,7.008591,6.887438,pass
6.000000,exact_persistent_parity_8,8,200,3,600,262096,21,0.035000,655351.800000,1077749,1384803,1654781,1083501.376667,1055236,1358553,1609232,922.933760,7.906769,7.051878,6.510448,pass
8.000000,baseline,1,200,3,600,262096,0,0.000000,679121.000000,8466605,8913233,10093004,8548286.921667,8445245,8894965,10057130,116.982503,1.000000,1.000000,1.000000,pass
