repeat,mode,threads,frames,total_ns,ns_per_block,candidate_ns_per_block,checksum
1,baseline,1,9,36974715,4108301,4067781,5e1efc42d9298457
1,native_parity,1,9,51334467,5703829,5666479,5e1efc42d9298457
1,pthread_full_2,2,9,20503391,2278154,2240536,5e1efc42d9298457
1,pthread_full_4,4,9,12065462,1340606,1303301,5e1efc42d9298457
1,pthread_full_8,8,9,7841876,871319,830338,5e1efc42d9298457
1,pthread_full_16,16,9,9090225,1010025,972893,5e1efc42d9298457
1,pthread_parity_2,2,9,21294738,2366082,2329504,5e1efc42d9298457
1,pthread_parity_4,4,9,11849377,1316597,1277098,5e1efc42d9298457
1,pthread_parity_8,8,9,7737509,859723,822693,5e1efc42d9298457
1,pthread_parity_16,16,9,8871624,985736,947104,5e1efc42d9298457
2,pthread_parity_16,16,9,8547374,949708,909247,5e1efc42d9298457
2,pthread_parity_8,8,9,7548624,838736,802718,5e1efc42d9298457
2,pthread_parity_4,4,9,12046505,1338500,1277918,5e1efc42d9298457
2,pthread_parity_2,2,9,20740210,2304467,2269996,5e1efc42d9298457
2,pthread_full_16,16,9,9121952,1013550,977021,5e1efc42d9298457
2,pthread_full_8,8,9,7862770,873641,834712,5e1efc42d9298457
2,pthread_full_4,4,9,10813931,1201547,1166281,5e1efc42d9298457
2,pthread_full_2,2,9,20435719,2270635,2231152,5e1efc42d9298457
2,native_parity,1,9,50460988,5606776,5569281,5e1efc42d9298457
2,baseline,1,9,35805027,3978336,3943609,5e1efc42d9298457
3,baseline,1,9,35676963,3964107,3929610,5e1efc42d9298457
3,native_parity,1,9,48163034,5351448,5316976,5e1efc42d9298457
3,pthread_full_2,2,9,19880049,2208894,2174266,5e1efc42d9298457
3,pthread_full_4,4,9,11655664,1295073,1257936,5e1efc42d9298457
3,pthread_full_8,8,9,7595524,843947,806107,5e1efc42d9298457
3,pthread_full_16,16,9,10027532,1114170,1074819,5e1efc42d9298457
3,pthread_parity_2,2,9,19831355,2203483,2168051,5e1efc42d9298457
3,pthread_parity_4,4,9,12227088,1358565,1316825,5e1efc42d9298457
3,pthread_parity_8,8,9,7808417,867601,827212,5e1efc42d9298457
3,pthread_parity_16,16,9,8528556,947617,910847,5e1efc42d9298457
4,pthread_parity_16,16,9,8639402,959933,920575,5e1efc42d9298457
4,pthread_parity_8,8,9,7700123,855569,809240,5e1efc42d9298457
4,pthread_parity_4,4,9,11866964,1318551,1278534,5e1efc42d9298457
4,pthread_parity_2,2,9,20581970,2286885,2249560,5e1efc42d9298457
4,pthread_full_16,16,9,9443609,1049289,1011786,5e1efc42d9298457
4,pthread_full_8,8,9,8181601,909066,864751,5e1efc42d9298457
4,pthread_full_4,4,9,12688176,1409797,1371077,5e1efc42d9298457
4,pthread_full_2,2,9,22719902,2524433,2489184,5e1efc42d9298457
4,native_parity,1,9,48548336,5394259,5359439,5e1efc42d9298457
4,baseline,1,9,36552709,4061412,4023550,5e1efc42d9298457
5,baseline,1,9,36449422,4049935,4012589,5e1efc42d9298457
5,native_parity,1,9,48738372,5415374,5379312,5e1efc42d9298457
5,pthread_full_2,2,9,20306153,2256239,2216227,5e1efc42d9298457
5,pthread_full_4,4,9,10877718,1208635,1173037,5e1efc42d9298457
5,pthread_full_8,8,9,8138966,904329,860230,5e1efc42d9298457
5,pthread_full_16,16,9,8309264,923251,878967,5e1efc42d9298457
5,pthread_parity_2,2,9,20892570,2321396,2286046,5e1efc42d9298457
5,pthread_parity_4,4,9,11300186,1255576,1217787,5e1efc42d9298457
5,pthread_parity_8,8,9,7856940,872993,836987,5e1efc42d9298457
5,pthread_parity_16,16,9,9506053,1056228,1017745,5e1efc42d9298457
6,pthread_parity_16,16,9,8975130,997236,956969,5e1efc42d9298457
6,pthread_parity_8,8,9,8841729,982414,940819,5e1efc42d9298457
6,pthread_parity_4,4,9,11151680,1239075,1202639,5e1efc42d9298457
6,pthread_parity_2,2,9,19622871,2180319,2145736,5e1efc42d9298457
6,pthread_full_16,16,9,8453892,939321,902004,5e1efc42d9298457
6,pthread_full_8,8,9,7153055,794783,757577,5e1efc42d9298457
6,pthread_full_4,4,9,11894975,1321663,1283973,5e1efc42d9298457
6,pthread_full_2,2,9,21045360,2338373,2303432,5e1efc42d9298457
6,native_parity,1,9,50357841,5595315,5560736,5e1efc42d9298457
6,baseline,1,9,35573708,3952634,3915605,5e1efc42d9298457
7,baseline,1,9,35329749,3925527,3891485,5e1efc42d9298457
7,native_parity,1,9,47549145,5283238,5250043,5e1efc42d9298457
7,pthread_full_2,2,9,19095242,2121693,2083680,5e1efc42d9298457
7,pthread_full_4,4,9,10909464,1212162,1177899,5e1efc42d9298457
7,pthread_full_8,8,9,7778743,864304,828955,5e1efc42d9298457
7,pthread_full_16,16,9,10882695,1209188,1172194,5e1efc42d9298457
7,pthread_parity_2,2,9,19482167,2164685,2129937,5e1efc42d9298457
7,pthread_parity_4,4,9,12300900,1366766,1332401,5e1efc42d9298457
7,pthread_parity_8,8,9,8191535,910170,875275,5e1efc42d9298457
7,pthread_parity_16,16,9,8634485,959387,923875,5e1efc42d9298457
8,pthread_parity_16,16,9,8681997,964666,927435,5e1efc42d9298457
8,pthread_parity_8,8,9,8129303,903255,867293,5e1efc42d9298457
8,pthread_parity_4,4,9,11616695,1290743,1256023,5e1efc42d9298457
8,pthread_parity_2,2,9,19332301,2148033,2114232,5e1efc42d9298457
8,pthread_full_16,16,9,8554655,950517,912609,5e1efc42d9298457
8,pthread_full_8,8,9,7282402,809155,773888,5e1efc42d9298457
8,pthread_full_4,4,9,11233886,1248209,1211727,5e1efc42d9298457
8,pthread_full_2,2,9,19995414,2221712,2185690,5e1efc42d9298457
8,native_parity,1,9,47852385,5316931,5282998,5e1efc42d9298457
8,baseline,1,9,35696592,3966288,3931662,5e1efc42d9298457
9,baseline,1,9,35611384,3956820,3923544,5e1efc42d9298457
9,native_parity,1,9,47317855,5257539,5224400,5e1efc42d9298457
9,pthread_full_2,2,9,19071136,2119015,2085851,5e1efc42d9298457
9,pthread_full_4,4,9,10809284,1201031,1167344,5e1efc42d9298457
9,pthread_full_8,8,9,7304794,811643,776882,5e1efc42d9298457
9,pthread_full_16,16,9,8352460,928051,890853,5e1efc42d9298457
9,pthread_parity_2,2,9,20010064,2223340,2188413,5e1efc42d9298457
9,pthread_parity_4,4,9,11427119,1269679,1231316,5e1efc42d9298457
9,pthread_parity_8,8,9,9637471,1070830,1025384,5e1efc42d9298457
9,pthread_parity_16,16,9,9998188,1110909,1068426,5e1efc42d9298457
