mode,threads,frames_per_repeat,repeats,median_total_ns,p95_total_ns,median_candidate_ns,blocks_per_second,speedup_vs_baseline,candidates,state_row_applications,metric_terms,state_update_terms,result
baseline,1,9,9,3966288,4108301,3931662,252.124909,1.000000,679121,0,0,0,pass
native_parity,1,9,9,5394259,5703829,5359439,185.382274,0.735279,679121,1358240,43463744,86927360,pass
pthread_full_2,2,9,9,2256239,2524433,2216227,443.215457,1.757920,679121,1358176,86927488,173846528,pass
pthread_full_4,4,9,9,1248209,1409797,1211727,801.147885,3.177583,679121,1358176,86927488,173846528,pass
pthread_full_8,8,9,9,864304,909066,828955,1157.000315,4.588996,679121,1358176,86927488,173846528,pass
pthread_full_16,16,9,9,1010025,1209188,972893,990.074503,3.926921,679121,1358176,86927488,173846528,pass
pthread_parity_2,2,9,9,2223340,2366082,2188413,449.773764,1.783932,679121,1358176,43463744,86923264,pass
pthread_parity_4,4,9,9,1316597,1366766,1277098,759.533859,3.012530,679121,1358176,43463744,86923264,pass
pthread_parity_8,8,9,9,872993,1070830,836987,1145.484557,4.543322,679121,1358176,43463744,86923264,pass
pthread_parity_16,16,9,9,964666,1110909,927435,1036.628222,4.111566,679121,1358176,43463744,86923264,pass
