repeat,mode,threads,frames,total_ns,ns_per_block,candidate_ns_per_block,checksum
1,baseline,1,9,74878361,8319817,8290501,5e1efc42d9298457
1,native_parity,1,9,66223096,7358121,7326960,5e1efc42d9298457
1,pthread_full_2,2,9,44365158,4929462,4898579,5e1efc42d9298457
1,pthread_full_4,4,9,23672492,2630276,2600640,5e1efc42d9298457
1,pthread_full_8,8,9,13755408,1528378,1498037,5e1efc42d9298457
1,pthread_full_16,16,9,14534795,1614977,1585277,5e1efc42d9298457
1,pthread_parity_2,2,9,31590994,3510110,3478658,5e1efc42d9298457
1,pthread_parity_4,4,9,16683765,1853751,1823563,5e1efc42d9298457
1,pthread_parity_8,8,9,9454254,1050472,1019626,5e1efc42d9298457
1,pthread_parity_16,16,9,9930955,1103439,1073563,5e1efc42d9298457
2,pthread_parity_16,16,9,9912918,1101435,1069287,5e1efc42d9298457
2,pthread_parity_8,8,9,9159268,1017696,987571,5e1efc42d9298457
2,pthread_parity_4,4,9,15483881,1720431,1690293,5e1efc42d9298457
2,pthread_parity_2,2,9,28511287,3167920,3137479,5e1efc42d9298457
2,pthread_full_16,16,9,13769868,1529985,1500300,5e1efc42d9298457
2,pthread_full_8,8,9,14341935,1593548,1559778,5e1efc42d9298457
2,pthread_full_4,4,9,23500632,2611181,2581057,5e1efc42d9298457
2,pthread_full_2,2,9,45149844,5016649,4984478,5e1efc42d9298457
2,native_parity,1,9,64606732,7178525,7149564,5e1efc42d9298457
2,baseline,1,9,76429426,8492158,8463441,5e1efc42d9298457
3,baseline,1,9,75942219,8438024,8409165,5e1efc42d9298457
3,native_parity,1,9,64717210,7190801,7160598,5e1efc42d9298457
3,pthread_full_2,2,9,46799359,5199928,5169439,5e1efc42d9298457
3,pthread_full_4,4,9,24840317,2760035,2729083,5e1efc42d9298457
3,pthread_full_8,8,9,13564679,1507186,1476142,5e1efc42d9298457
3,pthread_full_16,16,9,13880717,1542301,1511529,5e1efc42d9298457
3,pthread_parity_2,2,9,33137053,3681894,3646929,5e1efc42d9298457
3,pthread_parity_4,4,9,16304592,1811621,1781650,5e1efc42d9298457
3,pthread_parity_8,8,9,9551540,1061282,1031477,5e1efc42d9298457
3,pthread_parity_16,16,9,9891043,1099004,1069285,5e1efc42d9298457
4,pthread_parity_16,16,9,10463211,1162579,1133046,5e1efc42d9298457
4,pthread_parity_8,8,9,11005010,1222778,1189731,5e1efc42d9298457
4,pthread_parity_4,4,9,18475934,2052881,2019265,5e1efc42d9298457
4,pthread_parity_2,2,9,33978815,3775423,3742299,5e1efc42d9298457
4,pthread_full_16,16,9,14719955,1635550,1599506,5e1efc42d9298457
4,pthread_full_8,8,9,15274025,1697113,1660308,5e1efc42d9298457
4,pthread_full_4,4,9,24650499,2738944,2707090,5e1efc42d9298457
4,pthread_full_2,2,9,42974336,4774926,4744460,5e1efc42d9298457
4,native_parity,1,9,65624512,7291612,7262518,5e1efc42d9298457
4,baseline,1,9,74886925,8320769,8291744,5e1efc42d9298457
5,baseline,1,9,75007779,8334197,8305251,5e1efc42d9298457
5,native_parity,1,9,66188676,7354297,7322846,5e1efc42d9298457
5,pthread_full_2,2,9,54711148,6079016,6047961,5e1efc42d9298457
5,pthread_full_4,4,9,27861844,3095760,3062415,5e1efc42d9298457
5,pthread_full_8,8,9,15908925,1767658,1732828,5e1efc42d9298457
5,pthread_full_16,16,9,15302706,1700300,1667857,5e1efc42d9298457
5,pthread_parity_2,2,9,36764918,4084990,4054347,5e1efc42d9298457
5,pthread_parity_4,4,9,16623914,1847101,1816795,5e1efc42d9298457
5,pthread_parity_8,8,9,11089496,1232166,1194225,5e1efc42d9298457
5,pthread_parity_16,16,9,10904326,1211591,1170426,5e1efc42d9298457
6,pthread_parity_16,16,9,11130777,1236753,1201211,5e1efc42d9298457
6,pthread_parity_8,8,9,11048504,1227611,1188341,5e1efc42d9298457
6,pthread_parity_4,4,9,16919593,1879954,1847987,5e1efc42d9298457
6,pthread_parity_2,2,9,28323163,3147018,3116432,5e1efc42d9298457
6,pthread_full_16,16,9,13738531,1526503,1496953,5e1efc42d9298457
6,pthread_full_8,8,9,13371027,1485669,1453090,5e1efc42d9298457
6,pthread_full_4,4,9,23615897,2623988,2593481,5e1efc42d9298457
6,pthread_full_2,2,9,46038648,5115405,5085342,5e1efc42d9298457
6,native_parity,1,9,68034487,7559387,7529039,5e1efc42d9298457
6,baseline,1,9,76642879,8515875,8486052,5e1efc42d9298457
7,baseline,1,9,77052912,8561434,8531522,5e1efc42d9298457
7,native_parity,1,9,66495950,7388438,7358441,5e1efc42d9298457
7,pthread_full_2,2,9,44127440,4903048,4872041,5e1efc42d9298457
7,pthread_full_4,4,9,23706533,2634059,2603903,5e1efc42d9298457
7,pthread_full_8,8,9,13633614,1514846,1484830,5e1efc42d9298457
7,pthread_full_16,16,9,14166870,1574096,1543088,5e1efc42d9298457
7,pthread_parity_2,2,9,28538308,3170923,3140620,5e1efc42d9298457
7,pthread_parity_4,4,9,15967930,1774214,1741635,5e1efc42d9298457
7,pthread_parity_8,8,9,9802630,1089181,1058017,5e1efc42d9298457
7,pthread_parity_16,16,9,9675899,1075099,1045472,5e1efc42d9298457
8,pthread_parity_16,16,9,9959095,1106566,1076839,5e1efc42d9298457
8,pthread_parity_8,8,9,9731693,1081299,1049451,5e1efc42d9298457
8,pthread_parity_4,4,9,15598846,1733205,1703420,5e1efc42d9298457
8,pthread_parity_2,2,9,28585961,3176217,3146653,5e1efc42d9298457
8,pthread_full_16,16,9,14140731,1571192,1541675,5e1efc42d9298457
8,pthread_full_8,8,9,13753243,1528138,1497352,5e1efc42d9298457
8,pthread_full_4,4,9,24739324,2748813,2718003,5e1efc42d9298457
8,pthread_full_2,2,9,46124090,5124898,5095624,5e1efc42d9298457
8,native_parity,1,9,72262548,8029172,7998179,5e1efc42d9298457
8,baseline,1,9,78674855,8741650,8711511,5e1efc42d9298457
9,baseline,1,9,74716558,8301839,8272767,5e1efc42d9298457
9,native_parity,1,9,64161188,7129020,7100146,5e1efc42d9298457
9,pthread_full_2,2,9,44299607,4922178,4892543,5e1efc42d9298457
9,pthread_full_4,4,9,23922831,2658092,2625171,5e1efc42d9298457
9,pthread_full_8,8,9,13930372,1547819,1517796,5e1efc42d9298457
9,pthread_full_16,16,9,14078536,1564281,1534366,5e1efc42d9298457
9,pthread_parity_2,2,9,28660965,3184551,3155099,5e1efc42d9298457
9,pthread_parity_4,4,9,15624173,1736019,1704082,5e1efc42d9298457
9,pthread_parity_8,8,9,9333690,1037076,1005499,5e1efc42d9298457
9,pthread_parity_16,16,9,9642268,1071363,1040949,5e1efc42d9298457
