mode,threads,frames_per_repeat,repeats,median_total_ns,p95_total_ns,median_candidate_ns,blocks_per_second,speedup_vs_baseline,candidates,state_row_applications,metric_terms,state_update_terms,result
baseline,1,9,9,8438024,8741650,8409165,118.511159,1.000000,679121,0,0,0,pass
native_parity,1,9,9,7354297,8029172,7322846,135.974927,1.147360,679121,1358240,43463744,86927360,pass
pthread_full_2,2,9,9,5016649,6079016,4984478,199.336250,1.682004,679121,1358176,86927488,173846528,pass
pthread_full_4,4,9,9,2658092,3095760,2625171,376.209702,3.174466,679121,1358176,86927488,173846528,pass
pthread_full_8,8,9,9,1528378,1767658,1498037,654.288402,5.520901,679121,1358176,86927488,173846528,pass
pthread_full_16,16,9,9,1571192,1700300,1541675,636.459452,5.370460,679121,1358176,86927488,173846528,pass
pthread_parity_2,2,9,9,3184551,4084990,3155099,314.016010,2.649675,679121,1358176,43463744,86923264,pass
pthread_parity_4,4,9,9,1811621,2052881,1781650,551.991835,4.657720,679121,1358176,43463744,86923264,pass
pthread_parity_8,8,9,9,1081299,1232166,1049451,924.813581,7.803599,679121,1358176,43463744,86923264,pass
pthread_parity_16,16,9,9,1103439,1236753,1073563,906.257618,7.647024,679121,1358176,43463744,86923264,pass
