architecture,lanes,scorer_ii,mean,median,p95,p99,maximum,mean_reduction_vs_normal_percent,frame_win_rate_percent,search_core_frames_per_second_at_100mhz
normal_cap_narrow,1,1,424248.805,478335.5,620631,646503,1330155,0.0,0.0,235.71074054056558
compact_state_wide,1,1,595411.638,640335.5,850292,890978,1574923,-40.344918119451165,0.0,167.95103356713358
compact_state_wide,2,1,489327.589,527858.0,737260,776516,1462708,-15.339768370119508,0.0,204.36207205149023
compact_state_wide,4,1,436417.631,472599.5,681209,720942,1407186,-2.8683229879692886,35.9,229.13831361684836
compact_state_wide,8,1,410158.052,444918.5,652898,693564,1379431,3.3213418244041883,64.1,243.808452649858
compact_state_wide,16,1,397698.658,431887.0,639787,680653,1366577,6.258154810830875,74.4,251.44666190953052
normal_cap_narrow,1,2,783502.388,884938.0,1158576,1208662,2576874,0.0,0.0,127.63202962949998
compact_state_wide,1,2,886557.435,954835.0,1363059,1440534,2812720,-13.153124812173518,1.7,112.7958506151381
compact_state_wide,2,2,780473.386,841689.5,1249349,1328891,2700505,0.38659767301181197,52.0,128.12736704900274
compact_state_wide,4,2,727563.428,785936.0,1193480,1273664,2644983,7.139603000163424,76.0,137.4450613534687
compact_state_wide,8,2,701303.849,758356.5,1165741,1246286,2617228,10.491166365149608,86.6,142.59154593631783
compact_state_wide,16,2,688844.455,744952.0,1152660,1233375,2604374,12.081384109323235,92.2,145.17065394683334
normal_cap_narrow,1,4,1502009.554,1695285.0,2233630,2334268,5070312,0.0,0.0,66.57747264901884
compact_state_wide,1,4,1468849.029,1582456.5,2388167,2545978,5288314,2.2077439462145994,58.5,68.0805161222597
compact_state_wide,2,4,1362764.98,1469849.0,2275095,2434335,5176099,9.270551817009283,81.7,73.38022437295093
compact_state_wide,4,4,1309855.022,1413533.5,2219527,2379108,5120577,12.79316309861501,92.0,76.34432690673762
compact_state_wide,8,4,1283595.443,1385704.5,2191517,2351730,5092822,14.541459501262269,96.7,77.90616626550302
compact_state_wide,16,4,1271136.049,1372440.5,2178406,2338819,5079968,15.370974464520609,98.4,78.66978525128744
normal_cap_narrow,1,8,2939023.886,3315775.0,4383738,4585480,10057188,0.0,0.0,34.024902103160386
compact_state_wide,1,8,2633432.217,2835224.0,4438383,4756866,10239502,10.397726621266383,84.0,37.97325761963973
compact_state_wide,2,8,2527348.168,2721648.0,4326587,4645223,10127287,14.007226003198257,93.6,39.567164218270065
compact_state_wide,4,8,2474438.21,2665605.0,4271019,4589996,10071765,15.807482144430587,98.1,40.41321363203489
compact_state_wide,8,8,2448178.631,2638762.0,4243009,4562618,10044010,16.70096174917579,99.0,40.84669261211275
compact_state_wide,16,8,2435719.237,2625901.5,4229898,4549707,10031156,17.12489141029049,99.0,41.05563501775636
normal_cap_narrow,1,16,5813052.55,6557590.0,8683954,9087904,20030940,0.0,0.0,17.202665749168222
compact_state_wide,1,16,4962598.593,5338805.5,8541134,9178642,20141878,14.630075157328475,94.7,20.150733154411306
compact_state_wide,2,16,4856514.544,5226562.5,8429571,9066999,20029663,16.45500359359387,98.7,20.59089890373033
compact_state_wide,4,16,4803604.586,5172162.0,8374003,9011772,19974141,17.365195915870395,99.0,20.81770016862916
compact_state_wide,8,16,4777345.007,5145402.0,8345993,8984394,19946386,17.816930676121267,99.0,20.932128588886734
compact_state_wide,16,16,4764885.613,5132541.5,8332882,8971483,19933532,18.031265466540464,99.0,20.986862670358924
