frame,frame_checksum,normal_unique_teps,normal_scoring_calls,normal_bound_checks,normal_pdb_lookups,normal_bound_cycles,compact_unique_teps,compact_scoring_calls,compact_bound_checks,compact_table_lookups,compact_allocations,cycles_p1,cycles_p2,cycles_p4,cycles_p8,cycles_p16,word_mismatch,metric_mismatch,tie_mismatch
0,4307900441458573662,475455,476530,41806,513019,78926,417788,418863,41806,3194565,38180,335475,222017,165250,137219,124242,0,0,0
1,13985065504140463237,325748,326823,39614,464529,71466,216256,217331,39598,3054456,38155,325540,213295,157457,129803,116744,0,0,0
2,13523406603343302230,455151,456226,41554,492687,75798,383196,384271,41554,3151562,38166,329160,217099,161366,133499,120633,0,0,0
3,13320700756420846468,377144,378219,41397,493194,75876,273691,274766,41397,3067746,38048,322543,214349,160264,133034,120154,0,0,0
4,15623635531402363762,487759,488834,41868,510588,78552,442677,443752,41868,3178913,38198,327790,218541,163897,136185,123419,0,0,0
5,16833904852794388024,478070,479145,42025,522444,80376,423229,424304,42025,3209725,38208,330573,219544,164553,137875,124816,0,0,0
6,15055695530798494923,542902,543977,42645,541827,83358,526418,527493,42645,3247501,38202,334357,223792,168368,141247,128229,0,0,0
7,11654081068290674278,385250,386325,41050,498342,76668,284329,285404,41050,3200223,38202,335616,220701,163395,135386,122006,0,0,0
8,17872850091527751012,127149,128224,36790,264862,40748,67336,68411,35683,2853833,34029,290659,178135,123158,94840,81585,0,0,0
9,12810441787419575937,262057,263132,39728,413608,63632,157645,158720,39674,3046165,37966,308997,200422,146866,119902,106995,0,0,0
10,15354654047595077210,354470,355545,40117,409084,62936,246490,247565,40117,3051319,37948,312767,202553,147730,120531,107548,0,0,0
11,8000196889370950559,328319,329394,39170,429052,66008,220149,221224,39013,3059026,38051,313874,204446,149496,122634,109774,0,0,0
12,1003048155117523633,451133,452208,42045,521859,80286,384216,385291,42045,3138526,38156,328498,219088,164126,137649,124674,0,0,0
13,5093212120615806920,7840,8834,12238,24830,3820,5349,6313,10005,714636,4547,65686,36641,22080,14895,11157,0,0,0
14,17880796771999687362,527833,528908,42506,536445,82530,498776,499851,42506,3225579,38208,341380,226796,169451,141483,128372,0,0,0
15,13124633785058266138,421754,422829,41513,482573,74242,344835,345910,41513,3103968,37888,328522,216438,160529,132087,118795,0,0,0
16,4545681363894474072,227477,228552,38214,355875,54750,126829,127904,37434,2992424,36331,303790,193033,137448,110342,97491,0,0,0
17,9507170928033327301,494387,495462,41783,498160,76640,450981,452056,41783,3243722,38158,332426,219028,162596,134991,121934,0,0,0
18,10639815013123984987,4759,5520,21430,14612,2248,3452,4127,20117,499538,2822,45048,24869,14716,9639,7175,0,0,0
19,7424309542499859262,540606,541681,42567,534937,82298,518009,519084,42567,3186589,38208,334963,223659,168337,140408,127642,0,0,0
20,3585716964899163425,486816,487891,42013,506805,77970,429476,430551,42013,3247132,38204,334540,220554,164392,136421,123310,0,0,0
21,10204974863561260655,452407,453482,41318,465179,71566,380391,381466,41318,3131870,38186,327085,214069,157298,129331,116421,0,0,0
22,5152589677103207791,266744,267819,39530,435058,66932,170655,171730,39342,3149579,37779,325410,210374,153574,125100,111624,0,0,0
23,13077879051893829120,73948,75023,30876,198757,30578,38878,39953,27044,2514372,27900,246099,148762,100320,76068,64076,0,0,0
24,11041175099619402705,427527,428602,41302,478530,73620,335277,336352,41302,3074317,38192,332090,217910,160324,132622,118948,0,0,0
25,3789542764782339965,481986,483061,41966,510653,78562,429357,430432,41966,3220673,38200,334362,221192,164564,136949,123431,0,0,0
26,8821286113460533548,272930,274005,40392,465972,71688,156654,157729,40392,3120431,38166,324773,212812,156559,129494,116523,0,0,0
27,2680818465723523271,139237,140312,34423,267982,41228,69196,70271,31826,2765407,34550,279604,173637,120332,94136,81349,0,0,0
28,15649990524889028689,81583,82658,25899,152984,23536,46670,47745,24240,2340336,23080,227444,134607,87930,64312,52569,0,0,0
29,9011163354629236132,8600,9624,12394,25649,3946,6637,7644,11124,743033,4676,66637,37194,22325,14844,11438,0,0,0
30,350182793745045460,414244,415319,41927,498368,76672,306381,307456,41927,3121302,38084,322784,214697,160834,133797,120988,0,0,0
31,3144942646360382232,387400,388475,41127,495586,76244,289680,290755,41127,3095820,38180,325721,216231,160408,133102,120248,0,0,0
32,3934959207445957992,286050,287125,38843,421785,64890,163628,164703,38087,3001496,37801,313343,203339,148589,120910,108078,0,0,0
33,2939905219594488232,5190,5929,19512,19123,2942,2763,3403,16991,601051,3634,54797,30330,18098,11955,8897,0,0,0
34,7115477866112852511,293294,294369,40565,468273,72042,155816,156891,40565,3053892,38060,326935,214246,157967,130317,117236,0,0,0
35,17804540254511754082,62431,63506,31315,220155,33870,38278,39352,28581,2664480,31100,261668,159075,107771,82902,70507,0,0,0
36,14329286675604069733,400422,401497,41878,504361,77594,297718,298793,41878,3157808,38204,329697,219086,163224,135912,122933,0,0,0
37,3512355457972779656,521129,522204,42174,520182,80028,486914,487989,42174,3165231,38192,329289,219821,164517,137383,124044,0,0,0
38,15383367769352008159,456702,457777,42004,509561,78394,390082,391157,42004,3136374,38202,331991,219851,163885,136407,123732,0,0,0
39,6351360789494488775,519762,520837,42310,533923,82142,488977,490052,42310,3224784,38206,342164,226841,169280,140691,127017,0,0,0
40,9272416292419551771,404283,405358,39903,445198,68492,316609,317684,39871,3063120,38130,322076,210101,154242,126728,113253,0,0,0
41,9425662161293817965,453410,454485,42002,500422,76988,377553,378628,42002,3133648,38192,328153,217397,162764,134759,121849,0,0,0
42,3205280276530037954,489948,491023,41589,507962,78148,445988,447063,41589,3171594,38208,330963,219812,163904,135936,123025,0,0,0
43,8247375632809095502,502042,503117,42362,529867,81518,456072,457147,42362,3174445,38200,330850,220469,166115,138819,125949,0,0,0
44,296574145639910115,518849,519924,42507,530790,81660,488708,489783,42507,3219752,38204,332474,221639,166156,139034,126096,0,0,0
45,8902939286485989100,505099,506174,42410,512018,78772,457031,458106,42410,3180269,38194,328025,217984,163340,135899,122790,0,0,0
46,456937915389356564,387525,388600,41239,506038,77852,277818,278893,41239,3054283,38090,321237,213906,160514,134148,122172,0,0,0
47,14068545361310646309,524184,525259,42608,533715,82110,496191,497266,42608,3247736,38208,341697,226668,169592,140672,127454,0,0,0
48,13900954627316334852,174655,175730,34957,315328,48512,97353,98428,33921,2936316,36219,296678,186835,132020,104616,91544,0,0,0
49,2107424263269548503,21254,22329,17193,52312,8048,13279,14353,14084,1208661,8924,112013,63575,39477,27353,21734,0,0,0
50,8168283661969964125,382779,383854,41403,497068,76472,269599,270674,41403,3249698,38184,331541,219144,163003,135004,121790,0,0,0
51,14267482168518956616,513814,514889,42476,531284,81736,479199,480274,42476,3242145,38186,335885,223500,167919,139643,126589,0,0,0
52,6311305015811095954,465212,466287,42007,483509,74386,409852,410927,42007,3108675,38144,318018,211008,157832,131528,118762,0,0,0
53,6453722038223445224,72800,73875,25812,149344,22976,46106,47181,23591,2292130,22817,223224,131768,86368,63002,51469,0,0,0
54,14215514807094581899,453602,454677,42047,499252,76808,378007,379082,42047,3086063,38196,319465,213393,159884,133806,120828,0,0,0
55,3989771169862953169,168464,169533,36896,341991,52614,83243,84312,35465,2914967,37389,295223,187878,134146,107838,95062,0,0,0
56,11916016868319620830,411108,412183,41932,504296,77584,326367,327442,41932,3198813,38178,337309,222420,164930,136650,123395,0,0,0
57,4640130541490228991,450746,451821,41777,509444,78376,387470,388545,41777,3156379,38112,330290,218770,163188,136086,123156,0,0,0
58,1304427793644317805,518368,519443,41587,501332,77128,493926,495001,41587,3127484,38206,325667,216602,161769,134096,121158,0,0,0
59,1112308405835387574,312480,313555,39887,386737,59498,228141,229216,39887,2956742,37608,307292,197664,144085,116679,103773,0,0,0
60,13116184056299994042,509188,510263,42405,527085,81090,473647,474722,42405,3119902,38208,333087,221526,165572,138682,125530,0,0,0
61,5128382913954093173,43851,44926,21103,99255,15270,27686,28761,19055,1796021,15017,169468,98310,62883,45091,36449,0,0,0
62,149536194727853827,371980,373055,40729,480233,73882,295285,296360,40729,3139372,38068,323913,213730,158595,131147,118181,0,0,0
63,12785073334573540145,679121,1198148,42247,529113,81402,679121,1166155,42247,3138629,38208,334120,223156,167328,138780,125842,0,0,0
64,14715283007751744236,206396,207471,33489,271960,41840,107959,109034,30765,2780704,32926,276341,171857,118912,93430,80768,0,0,0
65,11365951123784606704,560856,561931,42807,549718,84572,549020,550095,42807,3154000,38208,336096,225345,169700,142262,129449,0,0,0
66,6167689052082312052,494894,495969,42216,525304,80816,433292,434367,42216,3125383,38208,332159,221257,165842,138506,125693,0,0,0
67,1471876335903736649,388535,389610,41130,469404,72216,288986,290061,41130,3112485,38156,324358,213102,157344,130014,117041,0,0,0
68,16616906695035230134,418989,420064,41138,484718,74572,323648,324723,41138,3179690,38192,328900,216451,160246,132211,118995,0,0,0
69,14774274864356891453,488537,489612,41931,523198,80492,440733,441808,41931,3183286,38194,330580,220473,164611,137276,124510,0,0,0
70,15893644149008283858,373360,374435,40749,470093,72322,247337,248412,40749,3157062,38176,324115,212533,157338,130223,117167,0,0,0
71,7865834665772639287,423633,424708,41376,487682,75028,336698,337773,41376,3120845,38194,321835,213107,158893,131812,119046,0,0,0
72,3982075187632817751,378147,379222,41517,458536,70544,262480,263555,41517,3174844,38132,329941,214963,157869,129818,116309,0,0,0
73,8257608772007586738,347373,348448,41188,466323,71742,226781,227856,41188,3109179,38076,323273,211927,156757,129087,116045,0,0,0
74,14977254156259156003,467225,468300,41650,516776,79504,411919,412994,41650,3109894,38194,335649,221839,164944,137425,124367,0,0,0
75,1589424333137760772,401557,402632,40454,449670,69180,290608,291683,40454,3145392,38200,322086,210345,154773,126764,113612,0,0,0
76,9774658082113931331,313021,314096,39860,440674,67796,205367,206442,39843,3093312,38095,319979,209001,153690,125690,112541,0,0,0
77,2885753135356757878,314027,315102,40111,410345,63130,195063,196138,40094,2954193,37980,315555,203958,148308,120290,106920,0,0,0
78,18228366790075488506,105165,106240,28651,176826,27204,51809,52884,26377,2450445,26386,244033,146031,96516,71423,59157,0,0,0
79,6705742309440081002,487789,488864,42130,512720,78880,444667,445742,42130,3161003,38180,337415,223245,165467,137802,124694,0,0,0
80,4183829670304994346,453819,454894,41534,490763,75502,401574,402649,41534,3269693,38146,332122,218737,161977,133697,120317,0,0,0
81,7971977087052089671,9119,10114,13054,24167,3718,5190,6169,9822,709457,4442,65051,36340,21945,14639,10979,0,0,0
82,14015440443514644708,399032,400107,41224,498225,76650,320928,322003,41224,3120416,37988,331530,218684,162744,134552,121305,0,0,0
83,14813477150930179670,393302,394377,41235,485602,74708,290345,291420,41235,3083151,38170,324002,213371,158542,131741,119547,0,0,0
84,277419965220824983,35152,36226,17072,63648,9792,21336,22410,15167,1404606,10479,134679,76393,47173,32389,25797,0,0,0
85,11433493891647338668,335966,337041,40293,470938,72452,223879,224954,40208,3163274,37658,331250,216004,159020,130877,117630,0,0,0
86,3927747151045147985,438067,439142,41287,499603,76862,353967,355042,41287,3131575,38190,328865,218216,162721,135413,122686,0,0,0
87,2490559828448180269,481866,482941,41985,514345,79130,421082,422157,41985,3202136,38204,331346,220305,164024,136545,123566,0,0,0
88,12310597241526767626,539091,540166,42608,535015,82310,508591,509666,42608,3138754,38208,332924,221874,167138,140057,127187,0,0,0
89,4670254777196922682,517649,518724,42483,524823,80742,489054,490129,42483,3157204,38196,330499,220501,164991,138510,125170,0,0,0
90,15825785085970787932,417736,418811,39608,435136,66944,333590,334665,39539,3121050,37902,319309,207404,152440,124861,111483,0,0,0
91,6764912390002647435,63033,64108,25538,134667,20718,37151,38226,23797,2181107,20674,222769,130018,83360,60094,48312,0,0,0
92,16983826796895888681,402659,403734,41444,472082,72628,303212,304287,41444,3073170,38114,319863,210843,156694,130030,116974,0,0,0
93,8088651020318966618,523440,524515,42531,532441,81914,498159,499234,42531,3211147,38208,339025,224861,168373,139902,126791,0,0,0
94,13415699180734816289,411352,412427,41606,512863,78902,322084,323159,41606,3126253,38154,328308,217910,162672,136013,123286,0,0,0
95,6279338252731032094,319665,320740,39392,465452,71608,189449,190524,39325,3183462,38099,326491,213815,157396,129787,116750,0,0,0
96,6897685065739299843,224786,225861,38566,393016,60464,122347,123422,38304,3046424,37910,312314,201106,145141,117226,104361,0,0,0
97,16233122624032489404,356581,357656,39909,420719,64726,253616,254691,39909,3096783,38160,314976,204524,149311,122226,109118,0,0,0
98,3661284184810650330,424483,425558,41629,496990,76460,339037,340112,41629,3223185,38086,329537,217837,161429,134102,121212,0,0,0
99,7689340520339025854,482243,483318,41862,520312,80048,428023,429098,41862,3257947,38204,340532,225443,167364,138447,125388,0,0,0
100,3960091624786604190,398984,400059,41013,461383,70982,309433,310508,41013,3067287,38080,329823,215026,157645,129708,116197,0,0,0
101,4670656927620931667,308333,309408,39792,436475,67150,190290,191365,39792,3102087,37859,318992,207618,152326,124686,111671,0,0,0
102,9300506978581312426,418080,419155,41678,487279,74966,339650,340725,41678,3076260,38192,324810,214234,159770,132693,119826,0,0,0
103,17640199488338210563,422745,423820,41577,491556,75624,352912,353987,41577,3163473,38138,334932,220026,162852,134611,121396,0,0,0
104,7528972887321522470,426002,427077,41421,519753,79962,333537,334612,41421,3137106,38202,327592,218143,164661,138050,124833,0,0,0
105,3331301268401570949,400412,401487,40373,456365,70210,297257,298332,40373,3133865,38176,327272,213076,156082,128329,115522,0,0,0
106,9634326897132195769,444775,445850,41233,464243,71422,379526,380601,41233,3071828,38190,324991,213137,157480,129961,117246,0,0,0
