frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
0,4307900441458573662,4307900441458573662,183000,184075,41370,2741518,24965876,46988,610844,0,0,0,0,610844,41008032,11780800,80537596,17683081,7282795,0,2560,0,0,0
1,13985065504140463237,15993604437681843028,54333,55408,38780,2828205,26536107,20201,262613,0,0,0,0,262613,17695665,3546112,50644869,8023392,18512715,0,0,0,0,0
2,13523406603343302230,8589082977016295341,110198,111273,40957,2741840,24278527,39944,519272,0,0,0,0,519272,34877258,7121472,69060054,15286882,8991645,0,0,0,0,0
3,13320700756420846468,5551351460942617850,85422,86497,40863,2759193,24844001,27691,359983,0,0,0,0,359983,24222419,5535808,57402284,11002602,13841399,0,0,0,0,0
4,15623635531402363762,15516980313340715043,218289,219364,41218,2703515,25329655,50831,660803,0,0,0,0,660803,44348863,14039296,86462547,19134726,6194929,0,0,0,0,0
5,16833904852794388024,8007843526161550808,195376,196451,41651,2738241,24604411,48677,632801,0,0,0,0,632801,42477409,12572864,82434576,18213442,6390969,0,0,0,0,0
6,15055695530798494923,4356121255838442584,265941,267016,42396,2723627,27598857,68050,884650,0,0,0,0,884650,59343544,17089024,106797448,23320518,4278339,0,0,0,0,0
7,11654081068290674278,13967973740932703337,77679,78754,40449,2906153,25984959,28007,364091,0,0,0,0,364091,24497655,5040256,58469472,11129508,14855451,0,0,0,0,0
8,17872850091527751012,2009330200570427146,32833,33898,33967,2795062,32320847,6287,81731,0,0,0,0,81731,5574335,2169472,42893683,1501253,30819594,0,0,0,0,0
9,12810441787419575937,15818101403446693264,41348,42414,38073,2867450,27309412,13779,179127,0,0,0,0,179127,12106965,2714496,45036396,5214885,22094527,0,0,0,0,0
10,15354654047595077210,10294196311721282281,92148,93223,39247,2806474,27184404,24669,320697,0,0,0,0,320697,21586903,5966272,57583300,9770800,17413604,0,0,0,0,0
11,8000196889370950559,811538446288065585,68518,69593,37861,2776305,22947327,20167,262171,0,0,0,0,262171,17650139,4453952,47865584,8507265,14440062,0,0,0,0,0
12,1003048155117523633,2418325770709747967,151911,152986,41621,2707607,24202828,42780,556140,0,0,0,0,556140,37348922,9791104,74092082,16070899,8129017,2912,0,0,0,0
13,5093212120615806920,8854429402682367500,3165,4016,7913,662343,4520659,356,4628,0,0,0,0,4628,316290,257024,5764229,82030,4438629,0,0,0,0,0
14,17880796771999687362,7984956261792623645,233155,234230,42093,2745320,27779856,61356,797628,0,0,0,0,797628,53524250,14990720,99082239,21629452,6147492,2912,0,0,0,0
15,13124633785058266138,1644059594929329120,162700,163775,41027,2790756,28673151,39607,514891,0,0,0,0,514891,34601307,10481600,76587841,14607411,14065740,0,0,0,0,0
16,4545681363894474072,17525235691387657951,35832,36907,36173,2905415,32514040,10915,141895,0,0,0,0,141895,9613903,2362048,47431579,3810859,28703181,0,0,0,0,0
