frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
0,4307900441458573662,4307900441458573662,40816,41880,41370,3146822,34694751,5857,76141,414917,414917,0,27799439,76141,5253729,2680320,73616431,0,34694751,0,2560,0,0,0
1,13985065504140463237,15993604437681843028,37973,39037,38780,3006778,33940127,4965,64545,207795,207795,0,13922265,64545,4453605,2498368,57859923,0,33940127,0,0,0,0,0
2,13523406603343302230,8589082977016295341,40333,41395,40957,3103538,34633053,5685,73905,380351,380351,0,25483517,73905,5099445,2649280,71009790,0,34633053,0,0,0,0,0
3,13320700756420846468,5551351460942617850,40229,41291,40863,3020861,34645767,5643,73359,266420,266420,0,17850140,73359,5061771,2642624,63262026,0,34645767,0,0,0,0,0
4,15623635531402363762,15516980313340715043,40620,41683,41218,3129059,34426782,5781,75153,440281,440281,0,29498827,75153,5185557,2667712,74949155,0,34426782,0,0,0,0,0
5,16833904852794388024,8007843526161550808,41102,42165,41651,3161670,34554299,5953,77389,420793,420793,0,28193131,77389,5339841,2698560,73989152,0,34554299,0,0,0,0,0
6,15055695530798494923,4356121255838442584,41942,43005,42396,3201244,34955843,6337,82381,525174,525174,0,35186658,82381,5684289,2752320,81822750,0,34955843,0,0,0,0,0
7,11654081068290674278,13967973740932703337,39777,40839,40449,3151145,34466835,5483,71279,276940,276940,0,18554980,71279,4918251,2613696,63745356,0,34466835,0,0,0,0,0
8,17872850091527751012,2009330200570427146,32833,33898,33967,2803613,31817838,3831,49803,48440,48440,0,3245480,49803,3436407,2169472,43506777,0,31817838,0,0,0,0,0
9,12810441787419575937,15818101403446693264,37215,38279,38073,2995698,33670039,4816,62608,144714,144714,0,9695838,62608,4319952,2449856,53169456,0,33670039,0,0,0,0,0
10,15354654047595077210,10294196311721282281,38473,39536,39247,3003252,33820358,5087,66131,237755,237755,0,15929585,66131,4563039,2530304,59885785,0,33820358,0,0,0,0,0
11,8000196889370950559,811538446288065585,36992,38054,37861,3011221,33588074,4721,61373,212522,212522,0,14238974,61373,4234737,2435456,57546323,0,33588074,0,0,0,0,0
12,1003048155117523633,2418325770709747967,41118,42182,41621,3090909,34706269,5956,77428,380778,380778,0,25512126,77428,5342636,2699648,71393209,0,34703357,2912,0,0,0,0
13,5093212120615806920,8854429402682367500,3165,4016,7913,662343,4438629,239,3107,3255,3255,0,218085,3107,214383,257024,5798377,0,4438629,0,0,0,0,0
14,17880796771999687362,7984956261792623645,41687,42751,42093,3178252,34897967,6200,80600,496668,496668,0,33276756,80600,5561504,2736064,79692636,0,34895055,2912,0,0,0,0
15,13124633785058266138,1644059594929329120,40494,41556,41027,3055884,34434114,5711,74243,338109,338109,0,22653303,74243,5122767,2659584,67966679,0,34434114,0,0,0,0,0
16,4545681363894474072,17525235691387657951,35205,36267,36173,2944963,32810765,4341,56433,112088,112088,0,7509896,56433,3893877,2321088,49516762,0,32810765,0,0,0,0,0
17,9507170928033327301,17284289172471685401,40561,41623,41163,3194502,34522683,5774,75062,448128,448128,0,30024576,75062,5179304,2663872,75626100,0,34521591,1092,0,0,0,0
18,10639815013123984987,2780305607493080269,2223,2751,18752,456933,2612792,138,1794,2049,2049,0,137283,1794,123786,176064,3525610,0,2612792,0,0,0,0,0
19,7424309542499859262,8523855129889171908,41782,42845,42228,3140054,34963136,6249,81237,516434,516434,0,34601078,81237,5605353,2742080,81093929,0,34963136,0,0,0,0,0
20,3585716964899163425,9218611346147013878,40913,41977,41433,3198333,34800038,5883,76479,427001,427001,0,28609067,76479,5277051,2686528,74612450,0,34800038,0,0,0,0,0
21,10204974863561260655,16963535977478944094,40008,41071,40610,3084539,34511061,5558,72254,376797,376797,0,25245399,72254,4985526,2628544,70495679,0,34511061,0,0,0,0,0
22,5152589677103207791,10022694942923915066,37824,38887,38637,3101842,33858539,4933,64129,158205,158205,0,10599735,64129,4424901,2488768,54512422,0,33858539,0,0,0,0,0
23,13077879051893829120,5641359282814674149,24880,25945,26472,2463096,26649675,2479,32227,24949,24949,0,1671583,32227,2223663,1660480,34694969,0,26649675,0,0,0,0,0
24,11041175099619402705,9774418745235614095,39927,40989,40587,3026435,34513050,5548,72124,331014,331014,0,22177938,72124,4976582,2623296,67357888,0,34510905,2145,0,0,0,0
25,3789542764782339965,8778962369036225209,40942,42005,41463,3172514,34695596,5913,76869,426479,426479,0,28574093,76869,5303987,2688320,74475973,0,34694504,1092,0,0,0,0
26,8821286113460533548,6077640745652314746,38880,39942,39621,3072936,34256716,5230,67990,142214,142214,0,9528338,67990,4691310,2556288,54145209,0,34256716,0,0,0,0,0
27,2680818465723523271,4776413569941104562,29830,30894,31094,2717184,29833622,3240,42120,55487,55487,0,3717629,42120,2906280,1977216,41183025,0,29833622,0,0,0,0,0
28,15649990524889028689,7355307830636613776,20561,21623,22205,2271292,23643841,1961,25493,36898,36898,0,2472166,25493,1759017,1383872,31552393,0,23643841,0,0,0,0,0
29,9011163354629236132,3074246964227893735,4226,5129,8804,677916,6494774,349,4537,3517,3517,0,235639,4537,313053,328256,8058442,0,6494774,0,0,0,0,0
30,350182793745045460,5926753163840131200,40881,41943,41449,3073823,34701550,5905,76765,299533,299533,0,20068711,76765,5296889,2684352,65866774,0,34698638,2912,0,0,0,0
31,3144942646360382232,4933943542690971215,39862,40926,40527,3047240,34442772,5518,71734,283615,283615,0,19002205,71734,4949646,2619264,64101654,0,34442772,0,0,0,0,0
32,3934959207445957992,16035491631744627796,36009,37073,36939,2952900,33173790,4484,58292,153055,153055,0,10254685,58292,4022148,2372672,52813134,0,33173790,0,0,0,0,0
33,2939905219594488232,17138846338471929075,2109,2678,16268,563501,2126241,130,1690,1106,1106,0,74102,1690,116610,171392,3068114,0,2126241,0,0,0,0,0
34,7115477866112852511,508760954962106095,39323,40387,40035,3007787,34388042,5332,69316,141574,141574,0,9485458,69316,4782804,2584768,54288894,0,34388042,0,0,0,0,0
35,17804540254511754082,17891001674654000382,26198,27262,27706,2608594,27519583,2692,34996,21016,21016,0,1408072,34996,2414724,1744768,35723447,0,27519583,0,0,0,0,0
36,14329286675604069733,2549183635429215712,40438,41502,41048,3107167,34703695,5793,75309,290333,290333,0,19452311,75309,5196347,2656128,65156696,0,34702603,1092,0,0,0,0
37,3512355457972779656,54641955697084343,41166,42230,41676,3117834,34849126,6000,78000,485231,485231,0,32510477,78000,5382000,2702720,78603833,0,34849126,0,0,0,0,0
38,15383367769352008159,4043399927758650155,41182,42246,41724,3091498,34855834,5999,77987,386326,386326,0,25883842,77987,5381103,2703744,71957745,0,34855834,0,0,0,0,0
39,6351360789494488775,14239871099138461167,41467,42531,41979,3177638,34844069,6119,79547,486975,486975,0,32627325,79547,5488743,2721984,78901738,0,34844069,0,0,0,0,0
40,9272416292419551771,10011039597865590263,38352,39416,39056,3014374,33917078,5050,65650,310334,310334,0,20792378,65650,4529850,2522624,64815360,0,33917078,0,0,0,0,0
41,9425662161293817965,3718056516881782185,40957,42020,41522,3086029,34724651,5916,76908,374327,374327,0,25079909,76908,5306652,2689280,70928043,0,34724651,0,0,0,0,0
42,3205280276530037954,14257155582419171572,40198,41260,40836,3123026,34573227,5636,73268,443683,443683,0,29726761,73268,5055492,2640640,75159982,0,34573227,0,0,0,0,0
43,8247375632809095502,9280524818218970153,41547,42611,42003,3126900,34660561,6130,79690,453091,453091,0,30357097,79690,5498636,2727104,76412301,0,34659833,728,0,0,0,0
44,296574145639910115,3579242053889772485,41667,42729,42068,3172354,34874164,6203,80639,486514,486514,0,32596438,80639,5564117,2734656,78983797,0,34873436,728,0,0,0,0
45,8902939286485989100,4154157133375683666,41554,42616,42024,3134222,34936187,6162,80106,453944,453944,0,30414248,80106,5527314,2727424,76781419,0,34936187,0,0,0,0,0
46,456937915389356564,16185041997014406329,40009,41073,40661,3005799,34481928,5571,72423,271468,271468,0,18188356,72423,4997291,2628672,63342707,0,34473348,8580,0,0,0,0
47,14068545361310646309,4639816543041674363,42038,43101,42389,3202125,34911942,6332,82316,494246,494246,0,33114482,82316,5679804,2758464,79709206,0,34911942,0,0,0,0,0
48,13900954627316334852,4195680371056188860,30742,31804,31930,2881384,30615689,3481,45253,82895,82895,0,5553965,45253,3122457,2035456,44240881,0,30615689,0,0,0,0,0
49,2107424263269548503,11423161209362821136,7679,8743,10549,1129320,11277383,687,8931,12227,12227,0,819209,8931,616239,559552,14412252,0,11277383,0,0,0,0,0
50,8168283661969964125,9931039747041076422,40202,41264,40836,3200433,34463390,5644,73372,261551,261551,0,17523917,73372,5062668,2640896,62932140,0,34463390,0,0,0,0,0
51,14267482168518956616,13113212589325100185,41868,42931,42199,3196324,34969298,6237,81081,476942,476942,0,31955114,81081,5594589,2747584,78505108,0,34969298,0,0,0,0,0
52,6311305015811095954,6427547232503983676,40626,41691,41225,3060279,34700133,5825,75725,406553,406553,0,27239051,75725,5225025,2668224,72933937,0,34700133,0,0,0,0,0
53,6453722038223445224,18320083337798526167,20397,21460,22021,2227256,23215725,1929,25077,38037,38037,0,2548479,25077,1730313,1373440,31117234,0,23215725,0,0,0,0,0
54,14215514807094581899,5826899960588213343,41144,42207,41687,3039584,34647080,5992,77896,373749,373749,0,25041183,77896,5374850,2701248,70845632,0,34646625,455,0,0,0,0
55,3989771169862953169,18000163171180986405,33216,34274,34291,2866760,31769764,3878,50414,67315,67315,0,4510105,50414,3478566,2193536,44853022,0,31769764,0,0,0,0,0
56,11916016868319620830,3434736868211279916,40835,41900,41413,3150610,34707608,5882,76466,321872,321872,0,21565424,76466,5276180,2681600,67422835,0,34706516,1092,0,0,0,0
57,4640130541490228991,9900884035484805568,40675,41738,41267,3106478,34506927,5805,75465,383894,383894,0,25720898,75465,5207085,2671232,71253887,0,34506927,0,0,0,0,0
58,1304427793644317805,15977181257162056870,40307,41369,40899,3077630,34461882,5656,73528,491979,491979,0,32962593,73528,5073432,2647616,78264052,0,34461882,0,0,0,0,0
59,1112308405835387574,6630118966332650719,36914,37977,37787,2907116,33524491,4785,62205,215464,215464,0,14436088,62205,4292145,2430528,57628155,0,33524491,0,0,0,0,0
60,13116184056299994042,2954471994216558182,41490,42552,41993,3071825,34779303,6158,80054,471101,471101,0,31563767,80054,5523830,2723328,77704046,0,34776391,2912,0,0,0,0
