frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
0,4307900441458573662,4307900441458573662,2202,3230,4118,779126,4930380,212,2756,709018,40117,668901,48842008,2756,195676,206720,54958028,0,0,4930380,2560,0,0,0
1,13985065504140463237,15993604437681843028,1996,3020,3944,747808,5020951,190,2470,686386,30384,656002,47299866,2470,175370,193280,53441219,0,0,5020951,0,0,0,0
2,13523406603343302230,8589082977016295341,2080,3130,4048,764530,4928677,206,2678,706905,38781,668124,48698883,2678,190138,200320,54786596,0,0,4928677,0,0,0,0
3,13320700756420846468,5551351460942617850,2169,3101,4019,751139,5115916,213,2769,701632,33533,668099,48345542,2769,196599,198464,54611679,0,0,5115916,0,0,0,0
4,15623635531402363762,15516980313340715043,2328,3217,4134,777124,4530045,195,2535,708513,41997,666516,48803403,2535,179985,205888,54500579,0,0,4530045,0,0,0,0
5,16833904852794388024,8007843526161550808,2284,3229,4143,779577,4767880,212,2756,709367,41655,667712,48863013,2756,195676,206656,54816945,0,0,4767880,0,0,0,0
6,15055695530798494923,4356121255838442584,2165,3173,4087,778296,4937660,220,2860,714485,41907,672578,49215651,2860,203060,203072,55341826,0,0,4937660,0,0,0,0
7,11654081068290674278,13967973740932703337,2194,3078,3998,769172,4975737,201,2613,698075,33032,665043,48101111,2613,185523,196992,54232533,0,0,4975737,0,0,0,0
8,17872850091527751012,2009330200570427146,1848,2903,3865,764668,4803500,166,2158,637974,14683,623291,43990840,2158,153218,185792,49901883,0,0,4803500,0,0,0,0
9,12810441787419575937,15818101403446693264,1955,3003,3928,757072,4848051,183,2379,680773,25836,654937,46921665,2379,168909,192192,52891817,0,0,4848051,0,0,0,0
10,15354654047595077210,10294196311721282281,2270,3143,4064,767624,4652739,185,2405,688387,32756,655631,47433191,2405,170755,201152,53229525,0,0,4652739,0,0,0,0
11,8000196889370950559,811538446288065585,2109,2966,3893,755538,4906616,176,2288,681295,30560,650735,46948235,2288,162448,189824,52966554,0,0,4906616,0,0,0,0
12,1003048155117523633,2418325770709747967,2247,3287,4149,772575,4960800,220,2860,709873,40475,669398,48900287,2860,203060,210368,55051239,0,0,4960800,0,0,0,0
13,5093212120615806920,8854429402682367500,1244,1615,5532,325832,1340885,29,377,109077,2169,106908,7521975,377,26767,103360,9324351,0,0,1340885,0,0,0,0
14,17880796771999687362,7984956261792623645,2286,3333,4157,780786,4969692,220,2860,715051,42199,672852,49254121,2860,203060,213312,55425128,0,0,4969692,0,0,0,0
15,13124633785058266138,1644059594929329120,2364,3392,4224,777880,4768036,208,2704,704066,38190,665876,48504174,2704,191984,217088,54463386,0,0,4768036,0,0,0,0
16,4545681363894474072,17525235691387657951,1926,2856,3788,758759,4685356,156,2028,659774,21738,638036,45480930,2028,143988,182784,51255605,0,0,4685356,0,0,0,0
17,9507170928033327301,17284289172471685401,2195,3205,4121,788269,4777708,206,2678,707860,40700,667160,48760940,2678,190138,205120,54726296,0,0,4777708,0,0,0,0
18,10639815013123984987,2780305607493080269,1159,1326,17334,167074,631423,13,169,64751,1162,63589,4465495,169,11999,84864,5378189,0,0,631423,0,0,0,0
19,7424309542499859262,8523855129889171908,2200,3214,4095,768764,5078112,220,2860,714830,41844,672986,49239582,2860,203060,205696,55499309,0,0,5078112,0,0,0,0
20,3585716964899163425,9218611346147013878,2164,3220,4080,789678,5117008,214,2782,711464,40758,670706,49009500,2782,197522,206080,55323868,0,0,5117008,0,0,0,0
21,10204974863561260655,16963535977478944094,2292,3183,4046,771860,4733846,193,2509,704926,38802,666124,48562290,2509,178139,203712,54453893,0,0,4733846,0,0,0,0
22,5152589677103207791,10022694942923915066,2082,3020,3944,777121,5020951,190,2470,680053,26124,653929,46871409,2470,175370,193280,53042075,0,0,5020951,0,0,0,0
23,13077879051893829120,5641359282814674149,1595,2628,3740,716654,4198441,125,1625,526762,10558,516204,36325462,1625,115375,168192,41527864,0,0,4198441,0,0,0,0
24,11041175099619402705,9774418745235614095,2075,3090,4009,747842,4976725,206,2678,702475,36439,666036,48397897,2678,190138,197760,54514371,0,0,4976725,0,0,0,0
25,3789542764782339965,8778962369036225209,2382,3207,4076,779805,4921852,213,2769,708174,39605,668569,48784796,2769,196599,205248,54892376,0,0,4921852,0,0,0,0
26,8821286113460533548,6077640745652314746,1997,3036,3959,762906,5051241,195,2535,687444,25263,662181,47383110,2535,179985,194304,53575505,0,0,5051241,0,0,0,0
27,2680818465723523271,4776413569941104562,1714,2721,3692,723289,4271826,136,1768,594413,16695,577718,40981107,1768,125528,174144,46279586,0,0,4271826,0,0,0,0
28,15649990524889028689,7355307830636613776,1607,2490,3516,685600,3872115,109,1417,489912,11664,478248,33780600,1417,100607,159360,38601798,0,0,3872115,0,0,0,0
29,9011163354629236132,3074246964227893735,1319,1725,5416,361326,1700205,38,494,164680,2685,161995,11357550,494,35074,110400,13569971,0,0,1700205,0,0,0,0
30,350182793745045460,5926753163840131200,2068,3119,4035,755646,4943796,217,2821,703399,34553,668846,48465425,2821,200291,199616,54568809,0,0,4943796,0,0,0,0
31,3144942646360382232,4933943542690971215,2221,3078,3998,751708,4918537,202,2626,698753,34445,664308,48145067,2626,186446,196992,54202748,0,0,4918537,0,0,0,0
32,3934959207445957992,16035491631744627796,2021,3020,3944,747765,5015036,189,2457,668966,26651,642315,46105352,2457,174447,193280,52239824,0,0,5015036,0,0,0,0
33,2939905219594488232,17138846338471929075,1130,1265,14882,142941,442390,9,117,45980,713,45267,3171194,117,8307,80960,3860674,0,0,442390,0,0,0,0
34,7115477866112852511,508760954962106095,2026,3078,3998,748639,5097196,205,2665,689125,25646,663479,47498333,2665,189215,196992,53734373,0,0,5097196,0,0,0,0
35,17804540254511754082,17891001674654000382,1621,2660,3703,715324,4098445,126,1638,545635,8841,536794,37631133,1638,116298,170240,42735143,0,0,4098445,0,0,0,0
