variant,group_lanes,scorer_lanes,mean_cycles,p95_cycles,p99_cycles,incremental_signature_bytes,incremental_oracle_bytes_min
specialized,1,1,52092776.869,66496512.95,68554956.37,0,0
fused_specialized,1,1,28470001.59,34428042.8,36374535.65,0,0
fused_w1,1,1,35254565.155,38716773.65,38873245.52,0,0
fused_w1w2,1,1,6028361.843,6611264.85,6636231.21,16128,16128
specialized,4,4,13050989.819,16655667.65,17170596.9,0,0
fused_specialized,4,4,7145291.393,8632227.25,9122046.09,0,0
fused_w1,4,4,8841432.693,9710723.05,9750252.54,0,0
fused_w1w2,4,4,1510167.315,1655844.0,1662169.46,16128,16128
specialized,8,8,6544025.313,8348859.95,8606536.83,0,0
fused_specialized,8,8,3591173.047,4332917.25,4579964.49,0,0
fused_w1,8,8,4439243.945,4876563.1,4896419.55,0,0
fused_w1w2,8,8,757134.998,829962.85,833159.0,16128,16128
specialized,13,8,4068146.293,5207524.55,5372992.31,0,0
fused_specialized,13,8,2249549.67,2693210.9,2846061.2399999998,0,0
fused_w1,13,8,2764561.341,3046526.4,3063112.09,0,0
fused_w1w2,13,8,499275.353,546751.85,548978.33,16128,16128
