variant,group_lanes,scorer_lanes,exact_score_latency_cycles,mean_cycles,p95_cycles,p99_cycles,raw_pair_signature_bytes,minimum_extra_ramb18
specialized,1,4,1,51674694.719,65659708.75,67613885.56,0,0
fused_specialized,1,4,1,28074608.43,34239803.65,36192414.48,0,0
fused_w1,1,4,1,34966473.744,38256716.55,38362135.17,0,0
fused_w1w2,1,4,1,5532770.641,6071801.95,6090139.72,16128,8
specialized,1,4,2,51814055.439,65938643.5,67927575.83,0,0
fused_specialized,1,4,2,28206406.14,34323700.5,36231714.16,0,0
fused_w1,1,4,2,35062504.211,38410289.6,38524872.62,0,0
fused_w1w2,1,4,2,5697967.717,6251738.1,6272821.1,16128,8
specialized,1,4,4,52092776.869,66496512.95,68554956.37,0,0
fused_specialized,1,4,4,28470001.59,34428042.8,36374535.65,0,0
fused_w1,1,4,4,35254565.155,38716773.65,38873245.52,0,0
fused_w1w2,1,4,4,6028361.843,6611264.85,6636231.21,16128,8
specialized,1,4,8,52650220.234,67625122.5,69809718.44,0,0
fused_specialized,1,4,8,28997192.966,34648911.35,36677356.11,0,0
fused_w1,1,4,8,35638687.53,39339775.3,39556327.22,0,0
fused_w1w2,1,4,8,6689150.616,7327827.35,7357358.24,16128,8
specialized,1,4,16,53765106.964,69845601.3,72319242.58,0,0
fused_specialized,1,4,16,30051575.718,35660150.55,37249229.1,0,0
fused_w1,1,4,16,36406932.28,40580933.65,40898589.41,0,0
fused_w1w2,1,4,16,8010728.162,8762344.5,8805589.92,16128,8
specialized,1,4,32,55994880.424,74317660.95,77603507.66,0,0
fused_specialized,1,4,32,32160341.222,39088248.05,40871556.32,0,0
fused_w1,1,4,32,37943421.78,43091466.2,43601552.54,0,0
fused_w1w2,1,4,32,10653883.254,11633077.15,11701009.88,16128,8
specialized,1,4,64,60454427.344,83247348.8,88255472.66,0,0
fused_specialized,1,4,64,36377872.23,47577202.55,50505965.37,0,0
fused_w1,1,4,64,41016400.78,48138821.2,49067331.91,0,0
fused_w1w2,1,4,64,15940193.438,17379769.3,17491860.38,16128,8
specialized,4,4,1,13050989.441,16655667.65,17170596.89,0,0
fused_specialized,4,4,1,7145291.043,8632226.299999999,9122045.1,0,0
fused_w1,4,4,1,8841431.916,9710722.05,9750251.54,0,0
fused_w1w2,4,4,1,1510166.543,1655844.0,1662169.46,16128,8
specialized,4,4,2,13190350.161,16937917.9,17484287.16,0,0
fused_specialized,4,4,2,7277088.753,8689618.15,9197074.03,0,0
fused_w1,4,4,2,8937462.383,9866774.7,9921069.98,0,0
fused_w1w2,4,4,2,1675363.619,1835029.55,1842450.72,16128,8
specialized,4,4,4,13469071.591,17493037.1,18111667.7,0,0
fused_specialized,4,4,4,7540684.203,8944101.4,9339413.93,0,0
fused_w1,4,4,4,9129523.327,10176944.25,10256587.76,0,0
fused_w1w2,4,4,4,2005757.745,2193620.2,2204503.19,16128,8
specialized,4,4,8,14026514.956,18611167.2,19432904.41,0,0
fused_specialized,4,4,8,8067875.579,9803626.45,10249791.9,0,0
fused_w1,4,4,8,9513645.702,10804590.8,10932383.24,0,0
fused_w1w2,4,4,8,2666546.518,2911367.85,2928329.76,16128,8
specialized,4,4,16,15141401.686,20842552.95,22095668.73,0,0
fused_specialized,4,4,16,9122258.331,11926044.999999998,12658398.6,0,0
fused_w1,4,4,16,10281890.452,12066410.35,12298828.59,0,0
fused_w1w2,4,4,16,3988124.064,4348041.5,4376078.52,16128,8
specialized,4,4,32,17371175.146,25359705.4,27206844.73,0,0
fused_specialized,4,4,32,11231023.835,16237414.9,17736469.51,0,0
fused_w1,4,4,32,11818379.952,14604083.2,15004838.09,0,0
fused_w1w2,4,4,32,6631279.156,7221124.25,7273603.56,16128,8
specialized,4,4,64,21830722.066,34444004.05,37605254.82,0,0
fused_specialized,4,4,64,15448554.843,24852754.3,27719201.56,0,0
fused_w1,4,4,64,14891358.952,19672328.599999998,20416761.2,0,0
fused_w1w2,4,4,64,11917589.34,12974893.6,13067019.46,16128,8
specialized,8,4,1,6613705.246,8490049.65,8763381.95,0,0
fused_specialized,8,4,1,3657071.491,4363020.75,4617028.18,0,0
fused_w1,8,4,1,4487258.279,4954645.05,4981859.95,0,0
fused_w1w2,8,4,1,839732.661,919562.85,923300.13,16128,8
specialized,8,4,2,6753065.966,8767609.75,9077072.22,0,0
fused_specialized,8,4,2,3788869.201,4493251.05,4687778.57,0,0
fused_w1,8,4,2,4583288.746,5109617.95,5149587.65,0,0
fused_w1w2,8,4,2,1004929.737,1098833.8,1104322.9,16128,8
specialized,8,4,4,7031787.396,9326751.25,9737803.6,0,0
fused_specialized,8,4,4,4052464.651,4922856.0,5146165.16,0,0
