variant,group_lanes,score_latency,base_bram18,variant_bram18,mean_cycle_reduction_percent,throughput_per_bram_gain_percent
fused_w1,1,1,41,41,-24.548393368277523,-19.70992375284224
fused_w1,1,1,150,150,-24.548393368277523,-19.70992375284224
fused_w1w2,1,1,41,49,80.29261688619748,324.57930058279754
fused_w1w2,1,1,150,158,80.29261688619748,381.7316855948691
fused_w1,1,2,41,41,-24.306882759080928,-19.55393154391143
fused_w1,1,2,150,150,-24.306882759080928,-19.55393154391143
fused_w1w2,1,2,41,49,79.79902973559041,314.20520050550465
fused_w1w2,1,2,150,158,79.79902973559041,369.96113363931136
fused_w1,1,4,41,41,-23.830569673670343,-19.244496521715792
fused_w1,1,4,150,150,-23.830569673670343,-19.244496521715792
fused_w1w2,1,4,41,49,78.8255654853302,295.1627106253323
fused_w1w2,1,4,150,158,78.8255654853302,348.3553447200049
fused_w1,1,8,41,41,-22.90392236168286,-18.635631737025427
fused_w1,1,8,150,150,-22.90392236168286,-18.635631737025427
fused_w1w2,1,8,41,49,76.93173051666342,262.72105043768806
fused_w1w2,1,8,150,158,76.93173051666342,311.54673058305144
fused_w1,1,16,41,41,-21.1481641483223,-17.456446242495673
fused_w1,1,16,150,150,-21.1481641483223,-17.456446242495673
fused_w1w2,1,16,41,49,73.34340056850392,213.89401188544258
fused_w1w2,1,16,150,158,73.34340056850392,256.1471113550483
fused_w1,1,32,41,41,-17.982024873678746,-15.241325865471278
fused_w1,1,32,150,150,-17.982024873678746,-15.241325865471278
fused_w1w2,1,32,41,49,66.8726050496256,152.58089117209462
fused_w1w2,1,32,150,158,66.8726050496256,186.58066534654142
fused_w1,1,64,41,41,-12.7509616853696,-11.308960468959029
fused_w1,1,64,150,150,-12.7509616853696,-11.308960468959029
fused_w1w2,1,64,41,49,56.18162234113713,90.95519701613371
fused_w1w2,1,64,150,158,56.18162234113713,116.65957055705194
fused_w1,4,1,41,41,-23.737883632628964,-19.18400649481402
fused_w1,4,1,150,150,-23.737883632628964,-19.18400649481402
fused_w1w2,4,1,41,49,78.8648701093924,295.89758766961455
fused_w1w2,4,1,150,158,78.8648701093924,349.1891431570958
fused_w1,4,2,41,41,-22.81645430414061,-18.577685240479514
fused_w1,4,2,150,150,-22.81645430414061,-18.577685240479514
fused_w1w2,4,2,41,49,76.97755687933136,263.4430496763237
fused_w1w2,4,2,150,158,76.97755687933136,312.3659177401944
fused_w1,4,4,41,41,-21.07022494547501,-17.403308662360352
fused_w1,4,4,150,150,-21.07022494547501,-17.403308662360352
fused_w1w2,4,4,41,49,73.40085208445639,214.57199175489112
fused_w1w2,4,4,150,158,73.40085208445639,256.9163537200447
fused_w1,4,8,41,41,-17.92008452340561,-15.196804340696268
fused_w1,4,8,150,150,-17.92008452340561,-15.196804340696268
fused_w1w2,4,8,41,49,66.94859146141525,153.16158399141545
fused_w1w2,4,8,150,158,66.94859146141525,187.23952490535711
fused_w1,4,16,41,41,-12.712116659306204,-11.278394050331775
fused_w1,4,16,150,150,-12.712116659306204,-11.278394050331775
fused_w1w2,4,16,41,49,56.28139525004205,91.39098758140405
fused_w1w2,4,16,150,158,56.28139525004205,117.15402264947818
fused_w1,4,32,41,41,-5.229764673542769,-4.969853054187867
fused_w1,4,32,150,150,-5.229764673542769,-4.969853054187867
fused_w1w2,4,32,41,49,40.95570222783701,41.71304011545678
fused_w1w2,4,32,150,158,40.95570222783701,60.788954129145914
fused_w1,4,64,41,41,3.6067832665427346,3.741739708216252
fused_w1,4,64,150,150,3.6067832665427346,3.741739708216252
fused_w1w2,4,64,41,49,22.856283573993597,8.464400296311636
fused_w1w2,4,64,150,158,22.856283573993597,23.0647332784641
fused_w1,8,1,41,41,-22.700862973094125,-18.500980696502502
fused_w1,8,1,150,150,-22.700862973094125,-18.500980696502502
fused_w1w2,8,1,41,49,77.03811196837223,264.4015216540689
fused_w1w2,8,1,150,158,77.03811196837223,313.45340910117415
fused_w1,8,2,41,41,-20.967193715484523,-17.332958690270573
fused_w1,8,2,150,150,-20.967193715484523,-17.332958690270573
fused_w1w2,8,2,41,49,73.47678994210811,215.4726339878244
fused_w1w2,8,2,150,158,73.47678994210811,257.93823090622243
fused_w1,8,4,41,41,-17.838157794210964,-15.137845098837154
fused_w1,8,4,150,150,-17.838157794210964,-15.137845098837154
fused_w1w2,8,4,41,49,67.04909288547425,153.93373571457562
fused_w1w2,8,4,150,158,67.04909288547425,188.1156155452502
fused_w1,8,8,41,41,-12.660689680220848,-11.237894705027351
fused_w1,8,8,150,150,-12.660689680220848,-11.237894705027351
fused_w1w2,8,8,41,49,56.41348118217526,91.9709847383746
fused_w1w2,8,8,150,158,56.41348118217526,117.81209290321905
fused_w1,8,16,41,41,-5.212566819643483,-4.9543196000330525
fused_w1,8,16,150,150,-5.212566819643483,-4.9543196000330525
fused_w1w2,8,16,41,49,41.11346563026559,42.09270469610162
fused_w1w2,8,16,150,158,41.11346563026559,61.21972514917364
fused_w1,8,32,41,41,3.5981533023078716,3.7324526713594652
fused_w1,8,32,150,150,3.5981533023078716,3.7324526713594652
fused_w1w2,8,32,41,49,23.014387860900033,8.68715213509157
fused_w1w2,8,32,150,158,23.014387860900033,23.31746961916068
fused_w1,8,64,41,41,11.898913712485149,13.50597843215402
fused_w1,8,64,150,150,11.898913712485149,13.50597843215402
fused_w1w2,8,64,41,49,5.962874916530625,-11.02081298903519
fused_w1w2,8,64,150,158,5.962874916530625,0.9566262010792359
fused_w1,13,1,41,41,-21.470036749871202,-17.67517103339805
fused_w1,13,1,150,150,-21.470036749871202,-17.67517103339805
fused_w1w2,13,1,41,49,74.86996091677483,232.96195485668358
fused_w1w2,13,1,150,158,74.86996091677483,277.7817795919456
fused_w1,13,2,41,41,-18.852226183224662,-15.861904138136829
fused_w1,13,2,150,150,-18.852226183224662,-15.861904138136829
fused_w1w2,13,2,41,49,69.47302618014398,174.09683606873068
fused_w1w2,13,2,150,158,69.47302618014398,210.99285969514824
fused_w1,13,4,41,41,-14.380252202106615,-12.572320768009082
fused_w1,13,4,150,150,-14.380252202106615,-12.572320768009082
fused_w1w2,13,4,41,49,60.25351139758395,110.51789058585891
fused_w1w2,13,4,150,158,60.25351139758395,138.85558749707673
fused_w1,13,8,41,41,-7.6205782236321795,-7.080967552317796
fused_w1,13,8,150,150,-7.6205782236321795,-7.080967552317796
fused_w1w2,13,8,41,49,46.31762002152758,55.86765978205443
fused_w1w2,13,8,150,158,46.31762002152758,76.84891932665947
fused_w1,13,16,41,41,0.9174599220208357,0.9259551897829787
fused_w1,13,16,150,150,0.9174599220208357,0.9259551897829787
fused_w1w2,13,16,41,49,28.71541427294505,17.379470658827366
fused_w1w2,13,16,150,158,28.71541427294505,33.17985633565623
fused_w1,13,32,41,41,9.555380545903292,10.564896622460695
fused_w1,13,32,150,150,9.555380545903292,10.564896622460695
fused_w1w2,13,32,41,49,10.907288627721224,-6.082699584569906
