frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
0,4307900441458573662,4307900441458573662,183000,184075,41370,3190327,57627323,50182,652366,0,0,0,0,652366,43872348,11780800,116512168,17729686,34775949,5121688,2560,0,0,0
1,13985065504140463237,15993604437681843028,54333,55408,38780,3048944,47168433,22043,286559,0,0,0,0,286559,19339021,3546112,73141290,8177663,33954804,5035966,0,0,0,0
2,13523406603343302230,8589082977016295341,110198,111273,40957,3146687,55122587,42772,556036,0,0,0,0,556036,37413610,7121472,102845313,15332759,34678527,5111301,0,0,0,0
3,13320700756420846468,5551351460942617850,85422,86497,40863,3063170,50900551,30101,391313,0,0,0,0,391313,26376077,5535808,85916469,11131978,34651565,5117008,0,0,0,0
4,15623635531402363762,15516980313340715043,218289,219364,41218,3173609,59028697,54181,704353,0,0,0,0,704353,47353813,14039296,123636633,19174324,34751652,5102721,0,0,0,0
5,16833904852794388024,8007843526161550808,195376,196451,41651,3205695,58227780,52036,676468,0,0,0,0,676468,45490588,12572864,119538578,18255549,34847137,5125094,0,0,0,0
6,15055695530798494923,4356121255838442584,265941,267016,42396,3244797,63479377,72001,936013,0,0,0,0,936013,62890139,17089024,146745733,23337600,35013056,5128721,0,0,0,0
7,11654081068290674278,13967973740932703337,77679,78754,40449,3194568,50885822,30250,393250,0,0,0,0,393250,26501462,5040256,85662557,11259768,34526713,5099341,0,0,0,0
8,17872850091527751012,2009330200570427146,32833,33898,33967,2846503,38540437,7433,96629,0,0,0,0,96629,6582875,2169472,50173254,1857102,31823194,4860141,0,0,0,0
9,12810441787419575937,15818101403446693264,41387,42453,38110,3039340,44234294,15535,201955,0,0,0,0,201955,13666757,2716992,63695493,5453799,33767201,5013294,0,0,0,0
