batch,method,frames,unique_teps_per_frame,scoring_calls_per_frame,bound_checks_per_frame,pdb_lookups_per_frame,compact_lookups_per_frame,dual_queries_per_frame,dual_dp_transitions_per_frame,incumbent_syncs_per_frame,candidate_span_proxy,tep_overhead_vs_batch1_percent,word_mismatches,metric_mismatches,tie_mismatches
1,normal_cap_pdb,50,345898.28,346957.64,37771.96,413101.26,0.0,0.0,0.0,345881.64,345885.64,0.0,0,0,0
1,compact_two_block_cap_pdb,50,282033.62,283088.3,37264.08,0.0,2846784.56,0.0,0.0,282012.3,282016.3,0.0,0,0,0
1,dual_two_block_cap_pdb,50,115746.36,116790.08,36427.66,0.0,2839249.2,29618.76,143461333.86,115714.08,115718.08,0.0,0,0,0
1024,normal_cap_pdb,50,345909.18,346968.54,37772.16,413106.72,0.0,0.0,0.0,338.26,342.26,0.0031512154382351554,0,0,0
1024,compact_two_block_cap_pdb,50,282058.96,283113.64,37264.08,0.0,2846790.38,0.0,0.0,275.9,279.9,0.008984744442885884,0,0,0
1024,dual_two_block_cap_pdb,50,115795.06,116838.78,36428.0,0.0,2839261.52,29619.54,143461689.02,113.56,117.56,0.04207475725370724,0,0,0
2048,normal_cap_pdb,50,345916.6,346975.96,37772.16,413108.8,0.0,0.0,0.0,169.46,173.46,0.005296354754924515,0,0,0
2048,compact_two_block_cap_pdb,50,282076.4,283131.08,37264.08,0.0,2846792.46,0.0,0.0,138.16,142.16,0.015168404390952794,0,0,0
2048,dual_two_block_cap_pdb,50,115879.52,116923.24,36429.14,0.0,2839289.86,29621.7,143463018.66,57.02,61.02,0.11504465453600066,0,0,0
4096,normal_cap_pdb,50,345938.64,346998.0,37772.16,413111.4,0.0,0.0,0.0,84.96,88.96,0.011668170191536653,0,0,0
4096,compact_two_block_cap_pdb,50,282139.94,283194.62,37264.08,0.0,2846797.4,0.0,0.0,69.32,73.32,0.03769763335308429,0,0,0
4096,dual_two_block_cap_pdb,50,116046.42,117090.14,36428.96,0.0,2839315.48,29623.36,143463753.94,28.8,32.8,0.25923925383053437,0,0,0
16384,normal_cap_pdb,50,346116.84,347176.2,37773.06,413155.08,0.0,0.0,0.0,21.56,25.56,0.06318620607190795,0,0,0
16384,compact_two_block_cap_pdb,50,282474.3,283528.98,37264.28,0.0,2846833.68,0.0,0.0,17.74,21.74,0.15625087533890358,0,0,0
16384,dual_two_block_cap_pdb,50,116921.06,117964.78,36431.0,0.0,2839405.4,29628.92,143466534.64,7.68,11.68,1.0148915266104286,0,0,0
