batch,method,frames,unique_teps_per_frame,scoring_calls_per_frame,bound_checks_per_frame,pdb_lookups_per_frame,compact_lookups_per_frame,dual_queries_per_frame,dual_dp_transitions_per_frame,incumbent_syncs_per_frame,candidate_span_proxy,tep_overhead_vs_batch1_percent,word_mismatches,metric_mismatches,tie_mismatches
1,normal_cap_pdb,50,345898.28,346957.64,37771.96,413101.26,0.0,0.0,0.0,345881.64,345885.64,0.0,0,0,0
1,compact_two_block_cap_pdb,50,282033.62,283088.3,37264.08,0.0,2846784.56,0.0,0.0,282012.3,282016.3,0.0,0,0,0
1,dual_two_block_cap_pdb,50,115746.36,116790.08,36427.66,0.0,2839249.2,29618.76,143461333.86,115714.08,115718.08,0.0,0,0,0
8,normal_cap_pdb,50,345898.8,346958.16,37771.96,413101.52,0.0,0.0,0.0,43235.7,43239.7,0.00015033321356661133,0,0,0
8,compact_two_block_cap_pdb,50,282033.62,283088.3,37264.08,0.0,2846784.56,0.0,0.0,35251.94,35255.94,0.0,0,0,0
8,dual_two_block_cap_pdb,50,115748.08,116791.8,36427.66,0.0,2839251.64,29618.78,143461387.94,14464.9,14468.9,0.0014860078537237698,0,0,0
32,normal_cap_pdb,50,345898.8,346958.16,37771.96,413101.52,0.0,0.0,0.0,10809.3,10813.3,0.00015033321356661133,0,0,0
32,compact_two_block_cap_pdb,50,282033.92,283088.6,37264.08,0.0,2846784.56,0.0,0.0,8813.4,8817.4,0.00010637029725923952,0,0,0
32,dual_two_block_cap_pdb,50,115749.4,116793.12,36427.66,0.0,2839251.9,29618.8,143461396.26,3616.62,3620.62,0.002626432485652863,0,0,0
128,normal_cap_pdb,50,345899.8,346959.16,37771.96,413101.52,0.0,0.0,0.0,2702.68,2706.68,0.00043943554735026424,0,0,0
128,compact_two_block_cap_pdb,50,282034.86,283089.54,37264.08,0.0,2846784.56,0.0,0.0,2203.76,2207.76,0.00043966389537963835,0,0,0
128,dual_two_block_cap_pdb,50,115756.26,116799.98,36427.66,0.0,2839253.46,29618.92,143461450.86,904.58,908.58,0.008553184739445996,0,0,0
512,normal_cap_pdb,50,345902.68,346962.04,37771.96,413102.3,0.0,0.0,0.0,676.02,680.02,0.0012720502686303092,0,0,0
512,compact_two_block_cap_pdb,50,282042.28,283096.96,37264.08,0.0,2846788.3,0.0,0.0,551.28,555.28,0.0030705559145971506,0,0,0
512,dual_two_block_cap_pdb,50,115782.32,116826.04,36427.86,0.0,2839258.14,29619.28,143461612.06,226.56,230.56,0.031067931639494617,0,0,0
1000000000,normal_cap_pdb,50,365980.82,367040.18,37998.32,420567.68,0.0,0.0,0.0,1.0,5.0,5.805909182317981,0,0,0
1000000000,compact_two_block_cap_pdb,50,312042.96,313097.64,37491.08,0.0,2854762.98,0.0,0.0,1.0,5.0,10.640341389086894,0,0,0
1000000000,dual_two_block_cap_pdb,50,141790.84,142834.56,36689.6,0.0,2847316.54,30191.72,143777838.88,1.0,5.0,22.501338271026405,0,0,0
